,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_10,1,29662.242000000002,1
1,1,10,1,right,std_10,1,30415.6,1
2,1,10,2,right,std_10,0,6010.221,0
3,1,15,3,right,std_10,0,7911.259,0
4,0,0,4,right,std_10,0,11226.181,1
5,1,60,5,right,std_10,1,1654.72,1
6,0,0,6,right,std_10,0,7863.514,1
7,1,60,7,right,std_10,1,1790.987,1
8,1,25,8,right,std_10,1,1295.102,1
9,1,15,9,right,std_10,1,7160.124,1
10,0,0,10,right,std_10,0,10947.151000000002,1
11,0,0,11,right,std_10,0,3405.691,1
12,0,0,12,right,std_10,0,3470.9959999999996,1
13,0,0,13,right,std_10,0,7858.5459999999985,1
14,1,15,14,right,std_10,1,3729.435,1
15,1,10,15,right,std_10,0,6696.991999999999,0
16,0,0,16,right,std_10,0,8382.735999999999,1
17,0,0,17,right,std_10,0,2211.843,1
18,0,0,18,right,std_10,0,14872.711,1
19,0,0,19,right,std_10,0,1099.751,1
20,1,25,20,right,std_10,1,2690.522,1
21,0,0,21,right,std_10,1,6968.0340000000015,0
22,0,0,22,right,std_10,1,8145.120999999999,0
23,1,60,23,right,std_10,1,1082.4499999999996,1
24,1,60,24,right,std_10,1,959.94,1
25,0,0,25,right,std_10,0,5479.326,1
26,1,60,26,right,std_10,1,1833.27,1
27,1,10,27,right,std_10,0,12109.131000000001,0
28,1,60,28,right,std_10,1,1737.2479999999996,1
29,0,0,29,right,std_10,0,10857.75,1
30,1,15,30,right,std_10,1,7118.018,1
31,1,25,31,right,std_10,1,1143.306,1
32,0,0,32,right,std_10,1,7791.709,0
33,0,0,33,right,std_10,1,6500.91,0
34,0,0,34,right,std_10,0,5573.009,1
35,1,60,35,right,std_10,1,1935.7920000000001,1
36,1,25,36,right,std_10,1,3666.771,1
37,1,25,37,right,std_10,1,1238.936,1
38,0,0,38,right,std_10,0,2348.6710000000003,1
39,1,10,39,right,std_10,0,10499.426000000001,0
40,0,0,40,right,std_10,0,5011.920999999999,1
41,1,25,41,right,std_10,1,2475.137,1
42,1,25,42,right,std_10,0,11941.874,0
43,1,60,43,right,std_10,1,1604.685,1
44,1,10,44,right,std_10,1,2752.2700000000004,1
45,1,25,45,right,std_10,0,2765.51,0
46,1,25,46,right,std_10,1,2767.973,1
47,0,0,47,right,std_10,0,2473.486,1
48,0,0,48,right,std_10,0,2968.5890000000004,1
49,0,0,49,right,std_10,0,10379.771,1
50,1,10,50,right,std_10,0,10439.688,0
51,1,25,51,right,std_10,1,6086.398,1
52,0,0,52,right,std_10,0,3537.2560000000008,1
53,0,0,53,right,std_10,0,5410.402999999998,1
54,1,25,54,right,std_10,1,1820.494,1
55,0,0,55,right,std_10,0,5210.002,1
56,0,0,56,right,std_10,0,3691.4240000000004,1
57,0,0,57,right,std_10,0,2186.96,1
58,0,0,58,right,std_10,1,8049.896000000002,0
59,1,25,59,right,std_10,1,3244.836,1
60,1,10,60,right,std_10,0,2414.23,0
61,1,15,61,right,std_10,0,2394.554,0
62,1,15,62,right,std_10,0,2234.1890000000008,0
63,1,15,63,right,std_10,1,3468.557,1
64,0,0,64,right,std_10,1,5309.951,0
65,1,10,65,right,std_10,0,3028.327,0
66,0,0,66,right,std_10,1,7389.732,0
67,0,0,67,right,std_10,0,3030.656,1
68,1,60,68,right,std_10,1,2252.078,1
69,0,0,69,right,std_10,0,4843.772000000001,1
70,1,60,70,right,std_10,1,1847.959,1
71,0,0,71,right,std_10,0,2833.766,1
72,0,0,72,right,std_10,0,11787.726,1
73,0,0,73,right,std_10,0,5456.4180000000015,1
74,1,10,74,right,std_10,1,11484.847,1
75,1,15,75,right,std_10,1,6904.043000000001,1
76,1,10,76,right,std_10,0,2514.286,0
77,0,0,77,right,std_10,0,3534.093,1
78,0,0,78,right,std_10,0,9103.325,1
79,1,25,79,right,std_10,1,1756.042,1
80,0,0,80,right,std_10,1,1868.8220000000001,0
81,1,60,81,right,std_10,1,1404.6770000000001,1
82,0,0,82,right,std_10,0,6169.491,1
83,0,0,83,right,std_10,0,7196.272,1
84,0,0,84,right,std_10,1,2098.508,0
85,0,0,85,right,std_10,1,5249.579000000001,0
86,1,15,86,right,std_10,1,2673.65,1
87,1,25,87,right,std_10,1,2509.505,1
88,1,10,88,right,std_10,0,3525.9770000000008,0
89,1,60,89,right,std_10,1,2068.6479999999997,1
90,0,0,90,right,std_10,1,8959.705,0
91,0,0,91,right,std_10,1,6567.856,0
92,0,0,92,right,std_10,0,5826.7080000000005,1
93,1,25,93,right,std_10,1,2504.211,1
94,1,60,94,right,std_10,1,1239.3319999999999,1
95,1,10,95,right,std_10,0,1830.562,0
96,0,0,96,right,std_10,0,3251.034,1
97,0,0,97,right,std_10,0,5183.605,1
98,0,0,98,right,std_10,0,3957.704,1
99,0,0,99,right,std_10,0,7680.7930000000015,1
100,0,0,100,right,std_10,0,4449.657,1
101,0,0,101,right,std_10,0,4537.662,1
102,1,25,102,right,std_10,1,1416.0479999999998,1
103,0,0,103,right,std_10,0,2186.8430000000008,1
104,1,10,104,right,std_10,0,3688.639,0
105,1,15,105,right,std_10,0,2049.052,0
106,1,15,106,right,std_10,0,2392.619,0
107,0,0,107,right,std_10,0,2110.831,1
108,1,15,108,right,std_10,1,4671.923,1
109,0,0,109,right,std_10,0,4207.59,1
110,0,0,110,right,std_10,1,2934.5359999999996,0
