,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_14,1,3476.335,1
1,1,10,1,right,std_14,0,15428.743,0
2,1,10,2,right,std_14,0,994.772,0
3,1,15,3,right,std_14,0,767.341,0
4,0,0,4,right,std_14,0,682.6039999999999,1
5,1,60,5,right,std_14,0,692.3810000000001,0
6,0,0,6,right,std_14,0,948.573,1
7,1,60,7,right,std_14,0,793.61,0
8,1,25,8,right,std_14,0,3390.738,0
9,1,15,9,right,std_14,0,1764.111,0
10,0,0,10,right,std_14,0,1040.7949999999996,1
11,0,0,11,right,std_14,0,1292.509,1
12,0,0,12,right,std_14,0,1352.8819999999996,1
13,0,0,13,right,std_14,0,3103.778,1
14,1,15,14,right,std_14,0,1863.885,0
15,1,10,15,right,std_14,0,5791.564,0
16,0,0,16,right,std_14,0,2511.807,1
17,0,0,17,right,std_14,0,11967.981000000002,1
18,0,0,18,right,std_14,0,1654.224,1
19,0,0,19,right,std_14,0,23177.197,1
20,1,25,20,right,std_14,0,672.821,0
21,0,0,21,right,std_14,0,800.352,1
22,0,0,22,right,std_14,0,836.4860000000001,1
23,1,60,23,right,std_14,0,1105.798,0
24,1,60,24,right,std_14,1,1249.045,1
25,0,0,25,right,std_14,0,1214.6960000000001,1
26,1,60,26,right,std_14,1,1467.616,1
27,1,10,27,right,std_14,0,1198.72,0
28,1,60,28,right,std_14,1,1119.983,1
29,0,0,29,right,std_14,0,919.853,1
30,1,15,30,right,std_14,0,882.332,0
31,1,25,31,right,std_14,0,636.5300000000002,0
32,0,0,32,right,std_14,0,794.918,1
33,0,0,33,right,std_14,0,922.737,1
34,0,0,34,right,std_14,0,806.505,1
35,1,60,35,right,std_14,1,1356.921,1
36,1,25,36,right,std_14,0,1316.514,0
37,1,25,37,right,std_14,0,1311.73,0
38,0,0,38,right,std_14,0,1007.959,1
39,1,10,39,right,std_14,0,1054.901,0
40,0,0,40,right,std_14,0,1222.968,1
41,1,25,41,right,std_14,1,2221.298,1
42,1,25,42,right,std_14,0,898.153,0
43,1,60,43,right,std_14,1,1511.311,1
44,1,10,44,right,std_14,0,1252.996,0
45,1,25,45,right,std_14,0,1543.486,0
46,1,25,46,right,std_14,0,1710.108,0
47,0,0,47,right,std_14,0,1198.678,1
48,0,0,48,right,std_14,0,1034.683,1
49,0,0,49,right,std_14,0,1722.0479999999998,1
50,1,10,50,right,std_14,0,2343.679,0
51,1,25,51,right,std_14,0,1760.513,0
52,0,0,52,right,std_14,0,1683.8339999999998,1
