,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_15,1,4528.175,1
1,1,10,1,right,std_15,0,1190.787,0
2,1,10,2,right,std_15,0,1050.6519999999996,0
3,1,15,3,right,std_15,0,880.738,0
4,0,0,4,right,std_15,0,682.4449999999998,1
5,1,60,5,right,std_15,0,664.7819999999999,0
6,0,0,6,right,std_15,0,600.692,1
7,1,60,7,right,std_15,1,1085.467,1
8,1,25,8,right,std_15,1,1087.853,1
9,1,15,9,right,std_15,0,598.066,0
10,0,0,10,right,std_15,0,1101.524,1
11,0,0,11,right,std_15,0,592.8050000000002,1
12,0,0,12,right,std_15,0,590.701,1
13,0,0,13,right,std_15,0,579.065,1
14,1,15,14,right,std_15,0,574.743,0
15,1,10,15,right,std_15,0,558.6560000000002,0
16,0,0,16,right,std_15,0,537.945,1
17,0,0,17,right,std_15,0,602.8969999999999,1
18,0,0,18,right,std_15,0,589.659,1
19,0,0,19,right,std_15,0,590.284,1
20,1,25,20,right,std_15,0,572.596,0
21,0,0,21,right,std_15,0,605.649,1
22,0,0,22,right,std_15,0,597.3770000000002,1
23,1,60,23,right,std_15,1,1096.237,1
24,1,60,24,right,std_15,1,557.5840000000001,1
25,0,0,25,right,std_15,0,1007.343,1
26,1,60,26,right,std_15,1,966.696,1
27,1,10,27,right,std_15,0,578.177,0
28,1,60,28,right,std_15,1,1012.408,1
29,0,0,29,right,std_15,0,628.2149999999998,1
30,1,15,30,right,std_15,0,942.2180000000001,0
31,1,25,31,right,std_15,1,1585.25,1
32,0,0,32,right,std_15,0,648.854,1
33,0,0,33,right,std_15,0,536.691,1
34,0,0,34,right,std_15,0,526.4799999999998,1
35,1,60,35,right,std_15,1,1240.258,1
36,1,25,36,right,std_15,0,627.165,0
37,1,25,37,right,std_15,1,1243.997,1
38,0,0,38,right,std_15,0,741.135,1
39,1,10,39,right,std_15,0,582.8729999999998,0
40,0,0,40,right,std_15,0,524.4019999999999,1
41,1,25,41,right,std_15,0,1815.914,0
42,1,25,42,right,std_15,0,2655.447,0
43,1,60,43,right,std_15,1,1205.474,1
44,1,10,44,right,std_15,0,567.018,0
45,1,25,45,right,std_15,0,1044.5549999999996,0
46,1,25,46,right,std_15,0,807.8380000000001,0
47,0,0,47,right,std_15,0,694.6410000000001,1
48,0,0,48,right,std_15,0,546.649,1
49,0,0,49,right,std_15,0,537.3530000000001,1
50,1,10,50,right,std_15,0,544.5459999999998,0
51,1,25,51,right,std_15,0,516.731,0
52,0,0,52,right,std_15,0,522.085,1
53,0,0,53,right,std_15,0,551.024,1
54,1,25,54,right,std_15,1,1050.136,1
55,0,0,55,right,std_15,0,527.61,1
