,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_22,1,2480.2329999999997,1
1,1,10,1,left,std_22,1,1310.809,1
2,1,10,2,left,std_22,1,14005.468,1
3,1,15,3,left,std_22,1,1753.9340000000002,1
4,0,0,4,left,std_22,1,2002.58,0
5,1,60,5,left,std_22,1,1399.725,1
6,0,0,6,left,std_22,1,1901.409,0
7,1,60,7,left,std_22,1,1089.826,1
8,1,25,8,left,std_22,1,1222.606,1
9,1,15,9,left,std_22,1,1238.396,1
10,0,0,10,left,std_22,1,3377.672,0
11,0,0,11,left,std_22,0,3150.53,1
12,0,0,12,left,std_22,0,2304.251,1
13,0,0,13,left,std_22,0,3689.2540000000004,1
14,1,15,14,left,std_22,1,20202.101000000002,1
15,1,10,15,left,std_22,1,3902.494,1
16,0,0,16,left,std_22,1,8124.931,0
17,0,0,17,left,std_22,1,4276.3780000000015,0
18,0,0,18,left,std_22,0,2372.376,1
19,0,0,19,left,std_22,0,3005.395,1
20,1,25,20,left,std_22,0,52488.490999999995,0
21,0,0,21,left,std_22,0,1898.0,1
22,0,0,22,left,std_22,0,1985.236,1
23,1,60,23,left,std_22,1,1657.9229999999998,1
24,1,60,24,left,std_22,1,1240.905,1
25,0,0,25,left,std_22,0,2046.76,1
26,1,60,26,left,std_22,1,2924.9970000000003,1
27,1,10,27,left,std_22,0,2615.596,0
28,1,60,28,left,std_22,1,1653.901,1
29,0,0,29,left,std_22,1,1637.5770000000002,0
30,1,15,30,left,std_22,0,4165.2069999999985,0
31,1,25,31,left,std_22,1,1740.808,1
32,0,0,32,left,std_22,1,1782.395,0
33,0,0,33,left,std_22,0,4849.611000000001,1
34,0,0,34,left,std_22,0,2888.055,1
35,1,60,35,left,std_22,1,1441.3010000000002,1
36,1,25,36,left,std_22,1,1431.348,1
37,1,25,37,left,std_22,1,1188.864,1
38,0,0,38,left,std_22,0,2393.369,1
39,1,10,39,left,std_22,1,3864.84,1
40,0,0,40,left,std_22,0,4566.66,1
41,1,25,41,left,std_22,1,1610.783,1
42,1,25,42,left,std_22,1,1858.33,1
43,1,60,43,left,std_22,1,1130.357,1
44,1,10,44,left,std_22,0,2980.5370000000003,0
45,1,25,45,left,std_22,0,1980.9160000000002,0
46,1,25,46,left,std_22,1,1858.471,1
47,0,0,47,left,std_22,0,5108.880999999999,1
48,0,0,48,left,std_22,0,2539.15,1
49,0,0,49,left,std_22,1,2331.798,0
50,1,10,50,left,std_22,1,4631.717000000001,1
51,1,25,51,left,std_22,1,2285.828,1
52,0,0,52,left,std_22,0,1871.231,1
53,0,0,53,left,std_22,0,1283.644,1
54,1,25,54,left,std_22,1,1603.8349999999996,1
55,0,0,55,left,std_22,0,15008.875,1
56,0,0,56,left,std_22,1,4156.07,0
57,0,0,57,left,std_22,0,2940.9759999999997,1
58,0,0,58,left,std_22,1,3344.9990000000007,0
59,1,25,59,left,std_22,1,3635.8759999999997,1
60,1,10,60,left,std_22,1,4663.146000000002,1
61,1,15,61,left,std_22,1,10039.033000000001,1
62,1,15,62,left,std_22,1,1634.053,1
63,1,15,63,left,std_22,0,5556.303000000001,0
64,0,0,64,left,std_22,1,66538.25600000001,0
65,1,10,65,left,std_22,0,4101.613,0
66,0,0,66,left,std_22,1,3819.939,0
67,0,0,67,left,std_22,1,2997.129000000001,0
68,1,60,68,left,std_22,1,1916.558,1
69,0,0,69,left,std_22,1,5389.365,0
70,1,60,70,left,std_22,1,1528.635,1
71,0,0,71,left,std_22,0,5239.563,1
72,0,0,72,left,std_22,1,11872.613000000001,0
73,0,0,73,left,std_22,1,16394.725000000002,0
74,1,10,74,left,std_22,1,14582.736,1
75,1,15,75,left,std_22,1,559928.7000000001,1
76,1,10,76,left,std_22,1,3645.5209999999997,1
77,0,0,77,left,std_22,1,2245.5080000000007,0
78,0,0,78,left,std_22,0,5210.869000000001,1
79,1,25,79,left,std_22,1,1744.0500000000004,1
80,0,0,80,left,std_22,1,3719.341,0
81,1,60,81,left,std_22,1,1256.983,1
82,0,0,82,left,std_22,1,2159.881,0
83,0,0,83,left,std_22,0,4626.137,1
84,0,0,84,left,std_22,1,1910.399,0
85,0,0,85,left,std_22,1,1968.2579999999998,0
86,1,15,86,left,std_22,1,2001.717,1
87,1,25,87,left,std_22,1,1556.44,1
88,1,10,88,left,std_22,1,4610.133,1
89,1,60,89,left,std_22,1,6172.701999999999,1
90,0,0,90,left,std_22,1,1395.639,0
91,0,0,91,left,std_22,1,1725.984,0
92,0,0,92,left,std_22,1,3595.9320000000002,0
93,1,25,93,left,std_22,1,8640.382000000001,1
94,1,60,94,left,std_22,1,1408.414,1
95,1,10,95,left,std_22,1,2644.528,1
96,0,0,96,left,std_22,0,2768.425,1
97,0,0,97,left,std_22,1,2392.931,0
98,0,0,98,left,std_22,1,9809.037,0
99,0,0,99,left,std_22,0,3267.417,1
100,0,0,100,left,std_22,1,3904.512,0
101,0,0,101,left,std_22,0,1649.703,1
102,1,25,102,left,std_22,1,2174.456,1
103,0,0,103,left,std_22,1,1789.443,0
104,1,10,104,left,std_22,1,5789.531,1
105,1,15,105,left,std_22,1,1201.9589999999998,1
106,1,15,106,left,std_22,0,3793.5190000000002,0
107,0,0,107,left,std_22,1,2989.7990000000004,0
