,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_7,1,5841.5740000000005,1
1,1,10,1,left,std_7,1,3539.116,1
2,1,10,2,left,std_7,0,2930.909,0
3,1,15,3,left,std_7,0,10451.353000000001,0
4,0,0,4,left,std_7,0,4022.762,1
5,1,60,5,left,std_7,0,197.674,0
6,0,0,6,left,std_7,0,5.7829999999999995,1
7,1,60,7,left,std_7,0,6.171,0
8,1,25,8,left,std_7,1,930.962,1
9,1,15,9,left,std_7,1,4550.319,1
10,0,0,10,left,std_7,0,2796.3680000000004,1
11,0,0,11,left,std_7,0,1919.271,1
12,0,0,12,left,std_7,1,29464.387000000002,0
13,0,0,13,left,std_7,0,15551.493999999999,1
14,1,15,14,left,std_7,0,4563.5509999999995,0
15,1,10,15,left,std_7,0,16128.388,0
16,0,0,16,left,std_7,0,9076.021,1
17,0,0,17,left,std_7,0,9156.799,1
18,0,0,18,left,std_7,0,13002.973,1
19,0,0,19,left,std_7,0,4064.389,1
20,1,25,20,left,std_7,1,6990.962,1
21,0,0,21,left,std_7,0,12318.719,1
22,0,0,22,left,std_7,1,26886.005,0
23,1,60,23,left,std_7,1,1924.111,1
24,1,60,24,left,std_7,1,1032.354,1
25,0,0,25,left,std_7,0,1805.6329999999998,1
26,1,60,26,left,std_7,1,1428.0,1
27,1,10,27,left,std_7,0,1668.189,0
28,1,60,28,left,std_7,1,1494.5079999999998,1
29,0,0,29,left,std_7,0,1770.305,1
30,1,15,30,left,std_7,0,1160.171,0
31,1,25,31,left,std_7,1,3699.9109999999996,1
32,0,0,32,left,std_7,0,2063.49,1
33,0,0,33,left,std_7,0,1453.711,1
34,0,0,34,left,std_7,0,1971.306,1
35,1,60,35,left,std_7,1,1405.1329999999998,1
36,1,25,36,left,std_7,1,2215.42,1
37,1,25,37,left,std_7,1,6.159999999999998,1
38,0,0,38,left,std_7,0,1274.215,1
39,1,10,39,left,std_7,0,9200.561,0
40,0,0,40,left,std_7,0,10667.111,1
41,1,25,41,left,std_7,1,4713.722,1
42,1,25,42,left,std_7,1,10336.305,1
43,1,60,43,left,std_7,1,1239.512,1
44,1,10,44,left,std_7,1,10075.335,1
45,1,25,45,left,std_7,0,2304.081,0
46,1,25,46,left,std_7,0,2600.522,0
47,0,0,47,left,std_7,0,3099.228,1
48,0,0,48,left,std_7,0,2140.027,1
49,0,0,49,left,std_7,0,2029.144,1
50,1,10,50,left,std_7,0,1200.88,0
51,1,25,51,left,std_7,0,4393.364000000001,0
52,0,0,52,left,std_7,0,4783.4220000000005,1
53,0,0,53,left,std_7,0,2153.148,1
54,1,25,54,left,std_7,1,8308.042000000001,1
55,0,0,55,left,std_7,0,2936.07,1
56,0,0,56,left,std_7,0,1217.705,1
57,0,0,57,left,std_7,0,1179.56,1
58,0,0,58,left,std_7,1,2262.871,0
59,1,25,59,left,std_7,0,1445.441,0
60,1,10,60,left,std_7,0,1096.984,0
61,1,15,61,left,std_7,0,894.5160000000001,0
62,1,15,62,left,std_7,0,1210.47,0
63,1,15,63,left,std_7,0,858.0029999999998,0
64,0,0,64,left,std_7,0,2005.918,1
65,1,10,65,left,std_7,0,1210.0339999999999,0
66,0,0,66,left,std_7,0,2123.257,1
67,0,0,67,left,std_7,0,1330.977,1
68,1,60,68,left,std_7,1,1580.217,1
69,0,0,69,left,std_7,0,1469.253,1
70,1,60,70,left,std_7,1,1538.6570000000002,1
71,0,0,71,left,std_7,0,2885.691,1
72,0,0,72,left,std_7,0,1016.823,1
73,0,0,73,left,std_7,0,1044.344,1
74,1,10,74,left,std_7,0,3893.489,0
75,1,15,75,left,std_7,0,4069.824,0
76,1,10,76,left,std_7,0,1166.889,0
77,0,0,77,left,std_7,0,883.181,1
78,0,0,78,left,std_7,0,809.443,1
79,1,25,79,left,std_7,1,2450.428,1
80,0,0,80,left,std_7,0,3065.587,1
81,1,60,81,left,std_7,1,1661.27,1
82,0,0,82,left,std_7,0,1590.2779999999998,1
83,0,0,83,left,std_7,0,1382.9289999999999,1
84,0,0,84,left,std_7,0,1141.078,1
85,0,0,85,left,std_7,0,1388.128,1
86,1,15,86,left,std_7,0,2499.396,0
87,1,25,87,left,std_7,0,2962.393,0
88,1,10,88,left,std_7,0,2887.3520000000003,0
89,1,60,89,left,std_7,1,2060.265,1
90,0,0,90,left,std_7,0,1545.64,1
91,0,0,91,left,std_7,0,1242.935,1
92,0,0,92,left,std_7,0,3371.784,1
93,1,25,93,left,std_7,0,2257.04,0
94,1,60,94,left,std_7,1,2519.3,1
95,1,10,95,left,std_7,0,2960.3990000000003,0
96,0,0,96,left,std_7,0,1262.963,1
97,0,0,97,left,std_7,0,1207.851,1
98,0,0,98,left,std_7,0,2706.745000000001,1
99,0,0,99,left,std_7,0,1580.421,1
100,0,0,100,left,std_7,0,1746.3970000000002,1
101,0,0,101,left,std_7,0,1401.954,1
102,1,25,102,left,std_7,1,3832.384,1
103,0,0,103,left,std_7,1,2440.259,0
104,1,10,104,left,std_7,0,1761.626,0
105,1,15,105,left,std_7,0,2302.528,0
106,1,15,106,left,std_7,1,2582.224,1
107,0,0,107,left,std_7,0,2427.0260000000007,1
108,1,15,108,left,std_7,0,1782.227,0
109,0,0,109,left,std_7,0,3171.271,1
110,0,0,110,left,std_7,0,2969.527,1
111,1,10,111,left,std_7,0,1381.1329999999998,0
112,0,0,112,left,std_7,0,1039.3159999999998,1
113,0,0,113,left,std_7,0,1928.865,1
114,0,0,114,left,std_7,0,1768.154,1
115,0,0,115,left,std_7,0,1049.351,1
116,0,0,116,left,std_7,0,1687.98,1
117,1,25,117,left,std_7,1,1588.384,1
118,0,0,118,left,std_7,0,1261.6419999999996,1
119,1,60,119,left,std_7,1,1568.325,1
120,0,0,120,left,std_7,0,4456.936,1
121,0,0,121,left,std_7,0,2412.771,1
122,1,25,122,left,std_7,0,1270.894,0
123,0,0,123,left,std_7,0,1081.6580000000001,1
124,1,60,124,left,std_7,1,2050.8360000000002,1
125,0,0,125,left,std_7,0,1549.35,1
126,1,10,126,left,std_7,0,1066.0700000000004,0
127,1,15,127,left,std_7,0,906.974,0
128,0,0,128,left,std_7,0,913.499,1
129,0,0,129,left,std_7,0,896.8230000000002,1
130,0,0,130,left,std_7,0,816.7520000000002,1
131,1,25,131,left,std_7,0,898.081,0
132,1,60,132,left,std_7,1,1586.336,1
133,1,25,133,left,std_7,1,1680.578,1
134,0,0,134,left,std_7,0,2226.423,1
135,1,60,135,left,std_7,0,2499.541,0
136,0,0,136,left,std_7,0,973.472,1
137,1,10,137,left,std_7,0,1029.932,0
138,0,0,138,left,std_7,0,1257.292,1
139,1,15,139,left,std_7,0,1330.679,0
140,0,0,140,left,std_7,0,1146.716,1
141,0,0,141,left,std_7,0,1137.527,1
142,0,0,142,left,std_7,0,1043.359,1
143,0,0,143,left,std_7,0,982.847,1
144,0,0,144,left,std_7,0,915.15,1
145,0,0,145,left,std_7,0,1364.975,1
146,0,0,146,left,std_7,0,973.931,1
147,0,0,147,left,std_7,0,1346.68,1
148,1,10,148,left,std_7,0,1830.3729999999998,0
149,1,15,149,left,std_7,0,2049.23,0
150,1,25,150,left,std_7,0,1410.7179999999996,0
151,1,10,151,left,std_7,0,1647.3429999999998,0
152,1,60,152,left,std_7,1,2406.071,1
153,1,10,153,left,std_7,0,866.7610000000001,0
154,1,15,154,left,std_7,0,750.59,0
155,0,0,155,left,std_7,0,796.2470000000002,1
156,0,0,156,left,std_7,0,706.055,1
157,0,0,157,left,std_7,0,868.3779999999998,1
158,0,0,158,left,std_7,0,748.581,1
159,1,25,159,left,std_7,0,2022.6429999999998,0
160,1,15,160,left,std_7,0,1135.17,0
161,0,0,161,left,std_7,0,1051.393,1
162,1,60,162,left,std_7,1,1501.7079999999999,1
163,0,0,163,left,std_7,0,1449.755,1
164,1,60,164,left,std_7,1,1549.361,1
165,0,0,165,left,std_7,0,1013.394,1
166,1,10,166,left,std_7,0,5644.651999999999,0
167,0,0,167,left,std_7,0,13111.03,1
168,0,0,168,left,std_7,0,1065.003,1
169,1,15,169,left,std_7,0,3662.743,0
170,0,0,170,left,std_7,0,1853.09,1
171,0,0,171,left,std_7,0,693.6750000000002,1
172,0,0,172,left,std_7,0,1064.1640000000002,1
173,0,0,173,left,std_7,0,715.7260000000001,1
174,1,60,174,left,std_7,0,689.36,0
175,0,0,175,left,std_7,0,1136.8139999999999,1
176,0,0,176,left,std_7,0,844.7679999999998,1
177,1,15,177,left,std_7,0,20102.973,0
178,0,0,178,left,std_7,0,1064.0610000000001,1
179,1,25,179,left,std_7,0,15807.635,0
180,1,25,180,left,std_7,0,969.953,0
181,1,15,181,left,std_7,0,1093.219,0
182,1,10,182,left,std_7,0,897.057,0
183,0,0,183,left,std_7,0,862.826,1
184,0,0,184,left,std_7,0,942.185,1
185,1,15,185,left,std_7,0,757.79,0
186,1,10,186,left,std_7,0,3882.58,0
187,1,60,187,left,std_7,1,4908.937,1
188,1,15,188,left,std_7,0,1885.842,0
189,0,0,189,left,std_7,0,2263.089,1
190,0,0,190,left,std_7,0,1255.775,1
191,1,10,191,left,std_7,0,2010.8450000000007,0
192,1,10,192,left,std_7,0,1776.0729999999999,0
193,1,15,193,left,std_7,0,946.3910000000001,0
194,1,60,194,left,std_7,1,1967.602,1
195,1,15,195,left,std_7,0,25864.737,0
196,0,0,196,left,std_7,0,1136.85,1
197,1,60,197,left,std_7,1,1607.13,1
198,1,15,198,left,std_7,0,5153.734,0
199,1,25,199,left,std_7,1,1734.8039999999999,1
