,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_21,1,3890.236,1
1,1,10,1,right,std_21,1,1398.11,1
2,1,10,2,right,std_21,0,8622.08,0
3,1,15,3,right,std_21,1,2097.426,1
4,0,0,4,right,std_21,1,2320.388,0
5,1,60,5,right,std_21,1,2125.2430000000004,1
6,0,0,6,right,std_21,0,2201.9350000000004,1
7,1,60,7,right,std_21,1,1226.466,1
8,1,25,8,right,std_21,1,1088.8319999999999,1
9,1,15,9,right,std_21,1,2344.22,1
10,0,0,10,right,std_21,0,2560.828,1
11,0,0,11,right,std_21,0,3082.43,1
12,0,0,12,right,std_21,0,19564.576,1
13,0,0,13,right,std_21,0,1126.3529999999996,1
14,1,15,14,right,std_21,1,3470.005,1
15,1,10,15,right,std_21,0,1588.0020000000002,0
16,0,0,16,right,std_21,1,2548.118,0
17,0,0,17,right,std_21,0,1464.094,1
18,0,0,18,right,std_21,1,3848.6420000000003,0
19,0,0,19,right,std_21,0,1566.7820000000002,1
20,1,25,20,right,std_21,1,1993.116,1
21,0,0,21,right,std_21,0,2361.846,1
22,0,0,22,right,std_21,1,1894.473,0
23,1,60,23,right,std_21,1,1167.144,1
24,1,60,24,right,std_21,1,1246.813,1
25,0,0,25,right,std_21,1,2554.254,0
26,1,60,26,right,std_21,1,1368.3909999999996,1
27,1,10,27,right,std_21,1,4350.1190000000015,1
28,1,60,28,right,std_21,1,1454.352,1
29,0,0,29,right,std_21,0,3020.621,1
30,1,15,30,right,std_21,1,4009.089,1
31,1,25,31,right,std_21,1,1385.039,1
32,0,0,32,right,std_21,0,1296.148,1
33,0,0,33,right,std_21,0,2387.557,1
34,0,0,34,right,std_21,0,1212.355,1
35,1,60,35,right,std_21,1,1161.4450000000004,1
36,1,25,36,right,std_21,1,2388.175,1
37,1,25,37,right,std_21,1,1451.901,1
38,0,0,38,right,std_21,0,2355.148,1
39,1,10,39,right,std_21,1,2240.0350000000008,1
40,0,0,40,right,std_21,0,1751.0179999999998,1
41,1,25,41,right,std_21,1,1837.283,1
42,1,25,42,right,std_21,1,1455.455,1
43,1,60,43,right,std_21,1,1358.011,1
44,1,10,44,right,std_21,0,2677.75,0
45,1,25,45,right,std_21,1,3437.9590000000007,1
46,1,25,46,right,std_21,1,1539.8470000000002,1
47,0,0,47,right,std_21,0,4059.0040000000004,1
48,0,0,48,right,std_21,0,3204.9809999999998,1
49,0,0,49,right,std_21,1,3195.573,0
50,1,10,50,right,std_21,0,2854.65,0
51,1,25,51,right,std_21,1,4081.469,1
52,0,0,52,right,std_21,0,2276.545,1
53,0,0,53,right,std_21,0,1508.894,1
54,1,25,54,right,std_21,1,3587.4770000000003,1
55,0,0,55,right,std_21,0,1975.65,1
56,0,0,56,right,std_21,0,1403.144,1
57,0,0,57,right,std_21,0,630.64,1
58,0,0,58,right,std_21,0,882.091,1
59,1,25,59,right,std_21,0,572.3770000000002,0
60,1,10,60,right,std_21,0,843.8299999999998,0
61,1,15,61,right,std_21,0,568.295,0
62,1,15,62,right,std_21,0,541.5060000000002,0
63,1,15,63,right,std_21,0,915.286,0
64,0,0,64,right,std_21,0,1335.9170000000001,1
65,1,10,65,right,std_21,0,667.455,0
66,0,0,66,right,std_21,0,771.752,1
67,0,0,67,right,std_21,0,616.7769999999999,1
68,1,60,68,right,std_21,1,1568.4460000000001,1
69,0,0,69,right,std_21,0,2012.8139999999999,1
70,1,60,70,right,std_21,1,1563.9370000000001,1
71,0,0,71,right,std_21,0,1519.649,1
72,0,0,72,right,std_21,0,1751.1460000000004,1
73,0,0,73,right,std_21,1,2030.604,0
74,1,10,74,right,std_21,0,1473.0710000000001,0
75,1,15,75,right,std_21,1,1763.795,1
76,1,10,76,right,std_21,1,2223.359,1
77,0,0,77,right,std_21,1,4373.185,0
78,0,0,78,right,std_21,0,1765.7079999999999,1
79,1,25,79,right,std_21,1,1318.646,1
80,0,0,80,right,std_21,1,2722.153,0
81,1,60,81,right,std_21,1,1549.993,1
82,0,0,82,right,std_21,0,2080.061,1
83,0,0,83,right,std_21,0,2865.668,1
84,0,0,84,right,std_21,1,1974.885,0
85,0,0,85,right,std_21,1,1784.249,0
86,1,15,86,right,std_21,1,1027.01,1
87,1,25,87,right,std_21,1,4145.82,1
88,1,10,88,right,std_21,1,1456.908,1
89,1,60,89,right,std_21,1,1731.0479999999998,1
90,0,0,90,right,std_21,0,1606.1129999999996,1
91,0,0,91,right,std_21,0,712.696,1
92,0,0,92,right,std_21,0,934.664,1
93,1,25,93,right,std_21,0,561.903,0
94,1,60,94,right,std_21,1,1410.868,1
95,1,10,95,right,std_21,0,1138.376,0
96,0,0,96,right,std_21,0,2343.96,1
97,0,0,97,right,std_21,1,1938.792,0
98,0,0,98,right,std_21,1,2034.657,0
99,0,0,99,right,std_21,0,3237.735,1
100,0,0,100,right,std_21,0,4724.6359999999995,1
101,0,0,101,right,std_21,0,1686.6650000000004,1
102,1,25,102,right,std_21,0,1626.136,0
103,0,0,103,right,std_21,0,2921.844,1
104,1,10,104,right,std_21,0,1234.132,0
105,1,15,105,right,std_21,0,886.0830000000001,0
106,1,15,106,right,std_21,0,1995.34,0
107,0,0,107,right,std_21,0,1595.723,1
108,1,15,108,right,std_21,1,1522.99,1
109,0,0,109,right,std_21,1,1356.87,0
110,0,0,110,right,std_21,1,1220.092,0
111,1,10,111,right,std_21,0,1207.463,0
112,0,0,112,right,std_21,0,874.9449999999998,1
113,0,0,113,right,std_21,0,1022.77,1
114,0,0,114,right,std_21,0,881.432,1
115,0,0,115,right,std_21,0,2942.792,1
116,0,0,116,right,std_21,0,1394.56,1
