,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_16,1,8059.326999999998,1
1,1,10,1,left,std_16,1,2166.975,1
2,1,10,2,left,std_16,0,2042.747,0
3,1,15,3,left,std_16,0,2456.426,0
4,0,0,4,left,std_16,0,3052.156,1
5,1,60,5,left,std_16,1,2010.649,1
6,0,0,6,left,std_16,0,2299.9,1
7,1,60,7,left,std_16,1,1930.374,1
8,1,25,8,left,std_16,1,1249.612,1
9,1,15,9,left,std_16,0,1722.8829999999998,0
10,0,0,10,left,std_16,0,1518.3970000000002,1
11,0,0,11,left,std_16,0,1706.171,1
12,0,0,12,left,std_16,0,1234.45,1
13,0,0,13,left,std_16,0,1186.455,1
14,1,15,14,left,std_16,0,1037.52,0
15,1,10,15,left,std_16,0,1018.26,0
16,0,0,16,left,std_16,0,961.059,1
17,0,0,17,left,std_16,0,928.183,1
18,0,0,18,left,std_16,0,1431.105,1
19,0,0,19,left,std_16,0,1004.256,1
20,1,25,20,left,std_16,1,3541.482,1
21,0,0,21,left,std_16,0,1685.6229999999998,1
22,0,0,22,left,std_16,0,1196.6129999999996,1
23,1,60,23,left,std_16,1,1942.941,1
24,1,60,24,left,std_16,1,1058.0230000000001,1
25,0,0,25,left,std_16,0,1560.09,1
26,1,60,26,left,std_16,1,1558.694,1
27,1,10,27,left,std_16,0,2184.398,0
28,1,60,28,left,std_16,1,1958.753,1
29,0,0,29,left,std_16,0,3311.795,1
30,1,15,30,left,std_16,0,1412.161,0
31,1,25,31,left,std_16,1,3298.0759999999996,1
32,0,0,32,left,std_16,0,2693.288,1
33,0,0,33,left,std_16,0,1719.764,1
34,0,0,34,left,std_16,0,3099.119,1
35,1,60,35,left,std_16,1,5702.088000000001,1
36,1,25,36,left,std_16,0,3702.737,0
37,1,25,37,left,std_16,1,5714.848000000001,1
38,0,0,38,left,std_16,0,2267.826,1
39,1,10,39,left,std_16,0,1683.4360000000001,0
40,0,0,40,left,std_16,0,2573.275,1
41,1,25,41,left,std_16,0,1533.9830000000004,0
42,1,25,42,left,std_16,0,13141.388,0
43,1,60,43,left,std_16,1,3684.4179999999997,1
44,1,10,44,left,std_16,0,2141.527,0
45,1,25,45,left,std_16,0,1683.4170000000001,0
46,1,25,46,left,std_16,0,3408.697,0
47,0,0,47,left,std_16,0,1434.589,1
48,0,0,48,left,std_16,0,8181.411000000001,1
49,0,0,49,left,std_16,0,2016.876,1
50,1,10,50,left,std_16,0,940.3689999999999,0
51,1,25,51,left,std_16,0,2610.948,0
52,0,0,52,left,std_16,0,8.505,1
53,0,0,53,left,std_16,0,7876.505,1
54,1,25,54,left,std_16,1,4323.83,1
55,0,0,55,left,std_16,0,1990.57,1
56,0,0,56,left,std_16,0,8570.905,1
57,0,0,57,left,std_16,0,1128.5320000000004,1
58,0,0,58,left,std_16,0,3675.5290000000005,1
59,1,25,59,left,std_16,0,1303.5430000000001,0
60,1,10,60,left,std_16,0,1211.5320000000004,0
61,1,15,61,left,std_16,0,2116.152,0
62,1,15,62,left,std_16,0,1801.854,0
63,1,15,63,left,std_16,0,1138.178,0
64,0,0,64,left,std_16,0,1647.315,1
65,1,10,65,left,std_16,0,4382.373000000001,0
66,0,0,66,left,std_16,0,1864.902,1
67,0,0,67,left,std_16,0,1315.596,1
68,1,60,68,left,std_16,1,2210.8720000000008,1
69,0,0,69,left,std_16,0,2242.015,1
70,1,60,70,left,std_16,1,1731.1229999999998,1
71,0,0,71,left,std_16,0,1516.476,1
72,0,0,72,left,std_16,0,3490.847,1
73,0,0,73,left,std_16,0,992.858,1
74,1,10,74,left,std_16,0,1497.295,0
75,1,15,75,left,std_16,0,1462.2160000000001,0
76,1,10,76,left,std_16,0,1007.7410000000001,0
77,0,0,77,left,std_16,0,1003.8380000000001,1
78,0,0,78,left,std_16,0,1070.3410000000001,1
79,1,25,79,left,std_16,1,2362.487,1
