,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_20,1,2791.2490000000007,1
1,1,10,1,right,std_20,1,3353.535,1
2,1,10,2,right,std_20,0,7093.779,0
3,1,15,3,right,std_20,0,7341.666,0
4,0,0,4,right,std_20,0,6515.513999999999,1
5,1,60,5,right,std_20,1,5144.1489999999985,1
6,0,0,6,right,std_20,0,7304.571999999999,1
7,1,60,7,right,std_20,1,1941.274,1
8,1,25,8,right,std_20,1,1340.524,1
9,1,15,9,right,std_20,1,43824.888,1
10,0,0,10,right,std_20,0,4676.4259999999995,1
11,0,0,11,right,std_20,0,4117.758,1
12,0,0,12,right,std_20,0,3881.3509999999997,1
13,0,0,13,right,std_20,0,4638.8290000000015,1
14,1,15,14,right,std_20,0,13823.278,0
15,1,10,15,right,std_20,0,4445.335999999999,0
16,0,0,16,right,std_20,0,3866.9629999999997,1
17,0,0,17,right,std_20,0,4785.33,1
18,0,0,18,right,std_20,0,4693.768999999998,1
19,0,0,19,right,std_20,0,3630.168,1
20,1,25,20,right,std_20,1,4504.806000000001,1
21,0,0,21,right,std_20,0,4979.922000000001,1
22,0,0,22,right,std_20,0,7195.1590000000015,1
23,1,60,23,right,std_20,1,2118.466000000001,1
24,1,60,24,right,std_20,1,1921.2020000000002,1
25,0,0,25,right,std_20,0,2688.135,1
26,1,60,26,right,std_20,1,1771.501,1
27,1,10,27,right,std_20,0,3700.7,0
28,1,60,28,right,std_20,1,1730.4409999999998,1
29,0,0,29,right,std_20,0,3132.933,1
30,1,15,30,right,std_20,1,2323.567,1
31,1,25,31,right,std_20,1,1568.861,1
32,0,0,32,right,std_20,0,4148.365,1
33,0,0,33,right,std_20,0,2096.069,1
34,0,0,34,right,std_20,0,3783.177,1
35,1,60,35,right,std_20,1,1854.588,1
36,1,25,36,right,std_20,1,1946.068,1
37,1,25,37,right,std_20,1,1665.089,1
38,0,0,38,right,std_20,0,3319.1090000000004,1
39,1,10,39,right,std_20,0,2951.335,0
40,0,0,40,right,std_20,0,3616.89,1
41,1,25,41,right,std_20,1,2341.069,1
42,1,25,42,right,std_20,1,6461.509999999998,1
43,1,60,43,right,std_20,1,2026.275,1
44,1,10,44,right,std_20,0,8211.103000000001,0
45,1,25,45,right,std_20,1,2584.008,1
46,1,25,46,right,std_20,1,1868.047,1
47,0,0,47,right,std_20,0,3731.04,1
48,0,0,48,right,std_20,0,2991.917,1
49,0,0,49,right,std_20,0,6324.838000000001,1
50,1,10,50,right,std_20,1,3479.8379999999997,1
51,1,25,51,right,std_20,0,4041.577,0
52,0,0,52,right,std_20,0,15767.071000000002,1
53,0,0,53,right,std_20,1,3352.4809999999998,0
54,1,25,54,right,std_20,1,1647.12,1
55,0,0,55,right,std_20,0,4829.727,1
56,0,0,56,right,std_20,1,6718.959,0
57,0,0,57,right,std_20,0,3814.5,1
58,0,0,58,right,std_20,1,4053.923,0
59,1,25,59,right,std_20,1,1748.425,1
60,1,10,60,right,std_20,0,3311.36,0
61,1,15,61,right,std_20,0,5506.7080000000005,0
62,1,15,62,right,std_20,0,3560.742,0
63,1,15,63,right,std_20,0,2374.597,0
64,0,0,64,right,std_20,1,5703.206999999999,0
65,1,10,65,right,std_20,0,2333.225,0
66,0,0,66,right,std_20,0,2402.073000000001,1
67,0,0,67,right,std_20,0,4128.017,1
68,1,60,68,right,std_20,1,2026.473,1
69,0,0,69,right,std_20,0,3224.156,1
70,1,60,70,right,std_20,1,1267.4389999999999,1
71,0,0,71,right,std_20,0,1926.477,1
72,0,0,72,right,std_20,0,69623.793,1
73,0,0,73,right,std_20,1,3516.255,0
74,1,10,74,right,std_20,1,2590.709,1
75,1,15,75,right,std_20,0,2758.386,0
76,1,10,76,right,std_20,0,2859.6040000000003,0
77,0,0,77,right,std_20,0,2887.7380000000007,1
78,0,0,78,right,std_20,0,2858.4309999999996,1
79,1,25,79,right,std_20,1,2107.116,1
80,0,0,80,right,std_20,1,2129.229,0
81,1,60,81,right,std_20,1,1714.7779999999998,1
82,0,0,82,right,std_20,0,2873.293,1
83,0,0,83,right,std_20,0,2669.1279999999997,1
84,0,0,84,right,std_20,0,3949.222,1
85,0,0,85,right,std_20,0,2209.942,1
86,1,15,86,right,std_20,1,1798.184,1
87,1,25,87,right,std_20,1,1965.3110000000001,1
88,1,10,88,right,std_20,0,2561.915,0
89,1,60,89,right,std_20,1,1425.044,1
90,0,0,90,right,std_20,0,5037.56,1
91,0,0,91,right,std_20,0,1805.43,1
92,0,0,92,right,std_20,0,1394.415,1
93,1,25,93,right,std_20,1,1144.692,1
94,1,60,94,right,std_20,1,1875.285,1
95,1,10,95,right,std_20,0,2232.236,0
96,0,0,96,right,std_20,0,1610.669,1
97,0,0,97,right,std_20,0,1891.794,1
98,0,0,98,right,std_20,0,1513.41,1
99,0,0,99,right,std_20,1,2309.1560000000004,0
100,0,0,100,right,std_20,0,1968.226,1
101,0,0,101,right,std_20,0,1563.734,1
102,1,25,102,right,std_20,1,1667.031,1
103,0,0,103,right,std_20,0,2693.145,1
104,1,10,104,right,std_20,0,1825.432,0
105,1,15,105,right,std_20,0,2662.66,0
106,1,15,106,right,std_20,0,2950.672,0
107,0,0,107,right,std_20,0,3038.296,1
108,1,15,108,right,std_20,1,2723.34,1
109,0,0,109,right,std_20,0,2324.811,1
110,0,0,110,right,std_20,0,1982.142,1
111,1,10,111,right,std_20,0,2004.356,0
112,0,0,112,right,std_20,0,1525.263,1
113,0,0,113,right,std_20,1,2003.8,0
114,0,0,114,right,std_20,1,6662.214,0
115,0,0,115,right,std_20,0,2645.7070000000003,1
116,0,0,116,right,std_20,0,1999.4589999999998,1
117,1,25,117,right,std_20,1,2363.883,1
118,0,0,118,right,std_20,0,3737.683,1
119,1,60,119,right,std_20,1,1476.509,1
120,0,0,120,right,std_20,0,2781.219,1
121,0,0,121,right,std_20,0,1704.297,1
122,1,25,122,right,std_20,0,1979.858,0
123,0,0,123,right,std_20,0,1898.703,1
124,1,60,124,right,std_20,1,1508.731,1
125,0,0,125,right,std_20,0,3953.896,1
126,1,10,126,right,std_20,0,2476.129,0
127,1,15,127,right,std_20,1,3699.2329999999997,1
128,0,0,128,right,std_20,0,2455.014,1
129,0,0,129,right,std_20,0,2725.379000000001,1
130,0,0,130,right,std_20,0,2199.093,1
131,1,25,131,right,std_20,1,2334.69,1
132,1,60,132,right,std_20,1,1774.755,1
133,1,25,133,right,std_20,1,1095.727,1
134,0,0,134,right,std_20,0,1793.378,1
135,1,60,135,right,std_20,1,1574.5839999999998,1
136,0,0,136,right,std_20,0,2340.5170000000007,1
137,1,10,137,right,std_20,0,2025.854,0
138,0,0,138,right,std_20,0,2585.812000000001,1
139,1,15,139,right,std_20,0,1685.3470000000002,0
140,0,0,140,right,std_20,0,1616.0079999999996,1
141,0,0,141,right,std_20,0,2862.74,1
142,0,0,142,right,std_20,0,2756.138,1
143,0,0,143,right,std_20,0,1841.392,1
144,0,0,144,right,std_20,0,2242.556,1
145,0,0,145,right,std_20,0,4574.645,1
146,0,0,146,right,std_20,1,4183.083,0
147,0,0,147,right,std_20,0,2930.952,1
148,1,10,148,right,std_20,1,4627.856000000002,1
149,1,15,149,right,std_20,0,1987.245,0
150,1,25,150,right,std_20,1,3212.514,1
151,1,10,151,right,std_20,0,2245.686,0
152,1,60,152,right,std_20,1,1612.433,1
153,1,10,153,right,std_20,0,2933.2850000000008,0
154,1,15,154,right,std_20,0,1706.813,0
155,0,0,155,right,std_20,0,1201.112,1
156,0,0,156,right,std_20,0,1115.5649999999996,1
157,0,0,157,right,std_20,0,1829.81,1
158,0,0,158,right,std_20,0,1969.625,1
159,1,25,159,right,std_20,1,2791.6940000000004,1
160,1,15,160,right,std_20,0,2859.764,0
161,0,0,161,right,std_20,0,2840.722,1
162,1,60,162,right,std_20,1,1520.4270000000001,1
163,0,0,163,right,std_20,0,2353.23,1
164,1,60,164,right,std_20,1,1450.1129999999998,1
165,0,0,165,right,std_20,0,1601.111,1
166,1,10,166,right,std_20,0,1771.2160000000001,0
167,0,0,167,right,std_20,0,2416.861,1
168,0,0,168,right,std_20,0,2478.591000000001,1
169,1,15,169,right,std_20,1,2375.324,1
170,0,0,170,right,std_20,0,1670.6080000000004,1
171,0,0,171,right,std_20,0,1285.494,1
172,0,0,172,right,std_20,0,1234.825,1
173,0,0,173,right,std_20,0,1349.558,1
174,1,60,174,right,std_20,1,1664.1270000000002,1
175,0,0,175,right,std_20,0,1631.1709999999996,1
176,0,0,176,right,std_20,0,1224.963,1
177,1,15,177,right,std_20,0,1542.128,0
178,0,0,178,right,std_20,0,939.622,1
179,1,25,179,right,std_20,0,707.071,0
180,1,25,180,right,std_20,1,2572.175,1
181,1,15,181,right,std_20,0,2207.376,0
182,1,10,182,right,std_20,0,1883.636,0
183,0,0,183,right,std_20,0,1457.724,1
184,0,0,184,right,std_20,0,2399.947,1
185,1,15,185,right,std_20,1,1471.281,1
186,1,10,186,right,std_20,0,1511.05,0
187,1,60,187,right,std_20,1,1226.7839999999999,1
188,1,15,188,right,std_20,0,1871.1470000000002,0
189,0,0,189,right,std_20,0,2160.6800000000007,1
190,0,0,190,right,std_20,0,1372.244,1
191,1,10,191,right,std_20,0,1265.4260000000002,0
192,1,10,192,right,std_20,0,2144.708,0
193,1,15,193,right,std_20,0,1640.329,0
194,1,60,194,right,std_20,1,1339.9019999999996,1
195,1,15,195,right,std_20,0,2075.514,0
