,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_13,1,12914.213,1
1,1,10,1,left,std_13,1,5997.826,1
2,1,10,2,left,std_13,0,3432.05,0
3,1,15,3,left,std_13,1,2560.141,1
4,0,0,4,left,std_13,1,1977.8410000000001,0
5,1,60,5,left,std_13,1,1728.6660000000002,1
6,0,0,6,left,std_13,0,2299.703,1
7,1,60,7,left,std_13,1,2222.86,1
8,1,25,8,left,std_13,1,1689.576,1
9,1,15,9,left,std_13,1,2911.144,1
10,0,0,10,left,std_13,0,2921.600000000001,1
11,0,0,11,left,std_13,1,2777.9359999999997,0
12,0,0,12,left,std_13,0,4729.414000000002,1
13,0,0,13,left,std_13,1,1846.983,0
14,1,15,14,left,std_13,1,1574.207,1
15,1,10,15,left,std_13,1,1775.3329999999999,1
16,0,0,16,left,std_13,0,4316.54,1
17,0,0,17,left,std_13,0,2517.001,1
18,0,0,18,left,std_13,1,2753.093,0
19,0,0,19,left,std_13,1,9103.511999999999,0
20,1,25,20,left,std_13,1,3603.407,1
21,0,0,21,left,std_13,1,1888.699,0
22,0,0,22,left,std_13,1,2777.212,0
23,1,60,23,left,std_13,1,2170.745000000001,1
24,1,60,24,left,std_13,1,2354.172,1
25,0,0,25,left,std_13,0,3493.185,1
26,1,60,26,left,std_13,1,2170.86,1
27,1,10,27,left,std_13,0,3865.736,0
28,1,60,28,left,std_13,1,1681.899,1
29,0,0,29,left,std_13,0,2415.742,1
30,1,15,30,left,std_13,1,4429.561,1
31,1,25,31,left,std_13,1,2523.811,1
32,0,0,32,left,std_13,0,72063.19399999999,1
33,0,0,33,left,std_13,1,4221.151,0
34,0,0,34,left,std_13,0,4484.215,1
35,1,60,35,left,std_13,1,1711.0439999999999,1
36,1,25,36,left,std_13,1,2976.14,1
37,1,25,37,left,std_13,1,1996.41,1
38,0,0,38,left,std_13,0,1948.895,1
39,1,10,39,left,std_13,1,2199.563,1
40,0,0,40,left,std_13,0,1705.879,1
41,1,25,41,left,std_13,1,3783.0959999999995,1
42,1,25,42,left,std_13,1,3455.801,1
43,1,60,43,left,std_13,1,1685.1589999999999,1
44,1,10,44,left,std_13,0,2795.4359999999997,0
45,1,25,45,left,std_13,1,2784.9680000000008,1
46,1,25,46,left,std_13,1,1309.248,1
47,0,0,47,left,std_13,0,2172.3520000000003,1
48,0,0,48,left,std_13,0,1781.951,1
49,0,0,49,left,std_13,1,5880.981000000002,0
50,1,10,50,left,std_13,0,1712.014,0
51,1,25,51,left,std_13,1,2195.494,1
52,0,0,52,left,std_13,0,1890.751,1
53,0,0,53,left,std_13,0,5520.495000000001,1
54,1,25,54,left,std_13,1,4707.1370000000015,1
55,0,0,55,left,std_13,0,9672.881,1
56,0,0,56,left,std_13,0,4338.972,1
57,0,0,57,left,std_13,0,2103.968,1
58,0,0,58,left,std_13,1,2454.205,0
59,1,25,59,left,std_13,1,2276.999,1
60,1,10,60,left,std_13,0,3350.586,0
61,1,15,61,left,std_13,0,6995.081,0
62,1,15,62,left,std_13,1,2539.5429999999997,1
63,1,15,63,left,std_13,0,5422.475,0
64,0,0,64,left,std_13,0,2279.173,1
65,1,10,65,left,std_13,0,3804.495,0
66,0,0,66,left,std_13,0,1763.721,1
67,0,0,67,left,std_13,0,1671.595,1
68,1,60,68,left,std_13,1,4852.883000000002,1
69,0,0,69,left,std_13,0,3346.3190000000004,1
70,1,60,70,left,std_13,1,1905.979,1
71,0,0,71,left,std_13,0,1744.487,1
72,0,0,72,left,std_13,0,1443.966,1
73,0,0,73,left,std_13,0,3495.895,1
74,1,10,74,left,std_13,0,2002.685,0
75,1,15,75,left,std_13,1,2460.148,1
76,1,10,76,left,std_13,0,1997.3629999999998,0
77,0,0,77,left,std_13,0,1731.017,1
78,0,0,78,left,std_13,0,3694.3190000000004,1
