,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,right,std_19,1,25403.617,1
1,1,10,1,right,std_19,0,5331.937,0
2,1,10,2,right,std_19,0,4140.543,0
3,1,15,3,right,std_19,0,3863.6940000000004,0
4,0,0,4,right,std_19,0,3985.869,1
5,1,60,5,right,std_19,1,1802.965,1
6,0,0,6,right,std_19,0,3376.131,1
7,1,60,7,right,std_19,1,1638.322,1
8,1,25,8,right,std_19,1,1577.794,1
9,1,15,9,right,std_19,1,2371.278,1
10,0,0,10,right,std_19,0,2204.9610000000002,1
11,0,0,11,right,std_19,0,4294.120999999999,1
12,0,0,12,right,std_19,0,3464.303000000001,1
13,0,0,13,right,std_19,0,4605.505999999999,1
14,1,15,14,right,std_19,1,5903.661999999998,1
15,1,10,15,right,std_19,0,2542.7270000000008,0
16,0,0,16,right,std_19,0,3537.532,1
17,0,0,17,right,std_19,0,2175.513,1
18,0,0,18,right,std_19,0,4469.429,1
19,0,0,19,right,std_19,0,2625.902,1
20,1,25,20,right,std_19,1,3167.638000000001,1
21,0,0,21,right,std_19,0,4025.629,1
22,0,0,22,right,std_19,0,4890.375,1
23,1,60,23,right,std_19,1,1386.386,1
24,1,60,24,right,std_19,1,1294.846,1
25,0,0,25,right,std_19,0,3841.006,1
26,1,60,26,right,std_19,1,1620.9479999999999,1
27,1,10,27,right,std_19,0,1440.547,0
28,1,60,28,right,std_19,1,1160.5890000000004,1
29,0,0,29,right,std_19,0,1515.638,1
30,1,15,30,right,std_19,0,1760.418,0
31,1,25,31,right,std_19,1,1676.75,1
32,0,0,32,right,std_19,1,2522.399,0
33,0,0,33,right,std_19,0,2400.0229999999997,1
34,0,0,34,right,std_19,0,1793.364,1
35,1,60,35,right,std_19,1,1577.6029999999998,1
36,1,25,36,right,std_19,1,1955.148,1
37,1,25,37,right,std_19,1,1934.596,1
38,0,0,38,right,std_19,0,1660.23,1
39,1,10,39,right,std_19,0,2142.277,0
40,0,0,40,right,std_19,0,2098.5389999999998,1
41,1,25,41,right,std_19,1,1844.726,1
42,1,25,42,right,std_19,1,2688.878,1
43,1,60,43,right,std_19,1,1674.3310000000001,1
44,1,10,44,right,std_19,0,1719.129,0
45,1,25,45,right,std_19,0,1192.289,0
46,1,25,46,right,std_19,1,2501.538,1
47,0,0,47,right,std_19,0,1168.022,1
48,0,0,48,right,std_19,0,1172.7510000000002,1
49,0,0,49,right,std_19,0,798.197,1
50,1,10,50,right,std_19,0,1240.808,0
51,1,25,51,right,std_19,1,1769.836,1
52,0,0,52,right,std_19,0,1447.021,1
53,0,0,53,right,std_19,0,1170.106,1
54,1,25,54,right,std_19,1,1941.995,1
55,0,0,55,right,std_19,0,1656.0770000000002,1
56,0,0,56,right,std_19,1,1682.9920000000002,0
57,0,0,57,right,std_19,0,1098.323,1
58,0,0,58,right,std_19,1,1021.773,0
59,1,25,59,right,std_19,0,1094.999,0
60,1,10,60,right,std_19,0,1553.057,0
61,1,15,61,right,std_19,0,1387.761,0
62,1,15,62,right,std_19,0,1717.5549999999996,0
63,1,15,63,right,std_19,0,1267.474,0
64,0,0,64,right,std_19,0,1354.457,1
65,1,10,65,right,std_19,0,1978.4129999999998,0
66,0,0,66,right,std_19,1,2963.897,0
67,0,0,67,right,std_19,0,1043.874,1
68,1,60,68,right,std_19,1,1483.16,1
69,0,0,69,right,std_19,0,1656.8670000000004,1
70,1,60,70,right,std_19,1,1234.934,1
71,0,0,71,right,std_19,0,1098.981,1
72,0,0,72,right,std_19,0,870.4939999999999,1
73,0,0,73,right,std_19,0,722.995,1
74,1,10,74,right,std_19,0,938.633,0
75,1,15,75,right,std_19,1,1644.007,1
76,1,10,76,right,std_19,0,984.252,0
77,0,0,77,right,std_19,0,1273.308,1
78,0,0,78,right,std_19,0,863.72,1
79,1,25,79,right,std_19,0,811.433,0
80,0,0,80,right,std_19,1,2298.2870000000007,0
81,1,60,81,right,std_19,1,1608.803,1
82,0,0,82,right,std_19,0,1072.833,1
83,0,0,83,right,std_19,0,1821.047,1
84,0,0,84,right,std_19,0,2594.361000000001,1
85,0,0,85,right,std_19,0,1688.3020000000001,1
86,1,15,86,right,std_19,1,3811.6079999999997,1
87,1,25,87,right,std_19,0,1708.9360000000001,0
88,1,10,88,right,std_19,0,2454.098,0
89,1,60,89,right,std_19,1,1784.174,1
90,0,0,90,right,std_19,0,1829.294,1
91,0,0,91,right,std_19,0,2324.895,1
92,0,0,92,right,std_19,0,1883.645,1
93,1,25,93,right,std_19,1,2161.686,1
94,1,60,94,right,std_19,1,2044.336,1
95,1,10,95,right,std_19,0,1320.888,0
96,0,0,96,right,std_19,0,1646.3719999999996,1
97,0,0,97,right,std_19,0,1966.183,1
98,0,0,98,right,std_19,0,1036.339,1
99,0,0,99,right,std_19,0,1182.471,1
100,0,0,100,right,std_19,0,1597.45,1
101,0,0,101,right,std_19,0,1016.1230000000003,1
102,1,25,102,right,std_19,1,2776.788,1
103,0,0,103,right,std_19,0,1281.493,1
104,1,10,104,right,std_19,0,1595.912,0
105,1,15,105,right,std_19,0,936.085,0
106,1,15,106,right,std_19,0,1421.406,0
107,0,0,107,right,std_19,0,1879.9720000000002,1
108,1,15,108,right,std_19,0,1135.152,0
109,0,0,109,right,std_19,0,1025.0739999999998,1
110,0,0,110,right,std_19,0,1688.552,1
111,1,10,111,right,std_19,0,1096.702,0
112,0,0,112,right,std_19,0,1662.0600000000004,1
113,0,0,113,right,std_19,0,1573.279,1
114,0,0,114,right,std_19,0,1707.1419999999996,1
115,0,0,115,right,std_19,0,1456.504,1
116,0,0,116,right,std_19,0,1041.5449999999996,1
117,1,25,117,right,std_19,1,2882.565,1
118,0,0,118,right,std_19,0,1149.894,1
119,1,60,119,right,std_19,1,1314.335,1
120,0,0,120,right,std_19,0,1315.332,1
121,0,0,121,right,std_19,0,1302.7230000000004,1
122,1,25,122,right,std_19,0,887.5980000000001,0
123,0,0,123,right,std_19,0,1216.2679999999998,1
124,1,60,124,right,std_19,1,1503.61,1
