,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_12,1,21204.657000000003,1
1,1,10,1,left,std_12,1,3779.2929999999997,1
2,1,10,2,left,std_12,0,1854.733,0
3,1,15,3,left,std_12,0,2131.753,0
4,0,0,4,left,std_12,0,4015.187,1
5,1,60,5,left,std_12,1,2328.7200000000007,1
6,0,0,6,left,std_12,0,1757.178,1
7,1,60,7,left,std_12,1,1857.225,1
8,1,25,8,left,std_12,1,1627.7569999999996,1
9,1,15,9,left,std_12,0,3277.7560000000008,0
10,0,0,10,left,std_12,0,3339.638,1
11,0,0,11,left,std_12,0,6280.7080000000005,1
12,0,0,12,left,std_12,0,2730.292,1
13,0,0,13,left,std_12,0,5504.757,1
14,1,15,14,left,std_12,0,2185.527,0
15,1,10,15,left,std_12,0,1919.624,0
16,0,0,16,left,std_12,0,1928.285,1
17,0,0,17,left,std_12,0,1371.29,1
18,0,0,18,left,std_12,0,2507.743,1
19,0,0,19,left,std_12,0,1991.525,1
20,1,25,20,left,std_12,1,3188.1910000000007,1
21,0,0,21,left,std_12,0,2521.144,1
22,0,0,22,left,std_12,0,1692.8039999999999,1
23,1,60,23,left,std_12,1,1783.332,1
24,1,60,24,left,std_12,1,1498.303,1
25,0,0,25,left,std_12,0,1606.156,1
26,1,60,26,left,std_12,1,1194.496,1
27,1,10,27,left,std_12,0,1254.0710000000001,0
28,1,60,28,left,std_12,1,1405.755,1
29,0,0,29,left,std_12,0,2203.988,1
30,1,15,30,left,std_12,0,1264.815,0
31,1,25,31,left,std_12,1,2413.574,1
32,0,0,32,left,std_12,0,1618.737,1
33,0,0,33,left,std_12,0,2678.225,1
34,0,0,34,left,std_12,0,2351.326,1
35,1,60,35,left,std_12,1,1586.136,1
36,1,25,36,left,std_12,1,6095.127,1
37,1,25,37,left,std_12,1,1454.4879999999998,1
38,0,0,38,left,std_12,0,1932.946,1
39,1,10,39,left,std_12,0,2137.631,0
40,0,0,40,left,std_12,0,2102.823,1
41,1,25,41,left,std_12,1,1887.335,1
42,1,25,42,left,std_12,0,7183.682,0
43,1,60,43,left,std_12,1,1622.741,1
44,1,10,44,left,std_12,0,2393.716,0
45,1,25,45,left,std_12,0,3859.568,0
46,1,25,46,left,std_12,0,9740.936,0
47,0,0,47,left,std_12,0,1848.566,1
48,0,0,48,left,std_12,0,2897.6490000000003,1
49,0,0,49,left,std_12,0,1738.259,1
50,1,10,50,left,std_12,0,2014.254,0
51,1,25,51,left,std_12,0,3384.067,0
52,0,0,52,left,std_12,0,2676.2490000000003,1
53,0,0,53,left,std_12,0,1556.629,1
54,1,25,54,left,std_12,1,1417.882,1
55,0,0,55,left,std_12,0,2856.093,1
56,0,0,56,left,std_12,0,5038.103,1
57,0,0,57,left,std_12,0,1605.66,1
58,0,0,58,left,std_12,0,6622.911999999999,1
59,1,25,59,left,std_12,1,4798.869000000001,1
60,1,10,60,left,std_12,0,1725.219,0
61,1,15,61,left,std_12,0,1883.001,0
62,1,15,62,left,std_12,0,9345.436,0
63,1,15,63,left,std_12,0,2964.455,0
64,0,0,64,left,std_12,0,3120.778,1
