,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_11,1,8108.001,1
1,1,10,1,left,std_11,1,4843.669,1
2,1,10,2,left,std_11,0,2494.8379999999997,0
3,1,15,3,left,std_11,0,2327.917,0
4,0,0,4,left,std_11,0,4537.353,1
5,1,60,5,left,std_11,1,3563.9590000000007,1
6,0,0,6,left,std_11,0,1888.041,1
7,1,60,7,left,std_11,1,1322.237,1
8,1,25,8,left,std_11,1,1341.5439999999999,1
9,1,15,9,left,std_11,0,2901.325,0
10,0,0,10,left,std_11,0,2130.632,1
11,0,0,11,left,std_11,0,1937.574,1
12,0,0,12,left,std_11,0,1411.984,1
13,0,0,13,left,std_11,0,1370.56,1
14,1,15,14,left,std_11,0,2762.568,0
15,1,10,15,left,std_11,0,1110.278,0
16,0,0,16,left,std_11,0,1029.232,1
17,0,0,17,left,std_11,0,952.788,1
18,0,0,18,left,std_11,0,1344.6039999999996,1
19,0,0,19,left,std_11,0,1547.056,1
20,1,25,20,left,std_11,0,1387.0990000000004,0
21,0,0,21,left,std_11,0,1710.558,1
22,0,0,22,left,std_11,0,4872.945,1
23,1,60,23,left,std_11,1,1710.072,1
24,1,60,24,left,std_11,1,1467.479,1
25,0,0,25,left,std_11,0,2725.85,1
26,1,60,26,left,std_11,1,1421.745,1
27,1,10,27,left,std_11,0,1471.892,0
28,1,60,28,left,std_11,1,1501.029,1
29,0,0,29,left,std_11,0,1709.662,1
30,1,15,30,left,std_11,0,1339.467,0
31,1,25,31,left,std_11,1,2910.435,1
32,0,0,32,left,std_11,0,1054.697,1
33,0,0,33,left,std_11,0,1070.522,1
34,0,0,34,left,std_11,0,930.253,1
35,1,60,35,left,std_11,1,1423.665,1
36,1,25,36,left,std_11,0,1283.014,0
37,1,25,37,left,std_11,1,1473.214,1
38,0,0,38,left,std_11,0,1099.35,1
39,1,10,39,left,std_11,0,1979.322,0
40,0,0,40,left,std_11,0,1678.7520000000002,1
41,1,25,41,left,std_11,0,1064.201,0
42,1,25,42,left,std_11,1,2036.935,1
43,1,60,43,left,std_11,1,1124.555,1
44,1,10,44,left,std_11,0,1379.138,0
45,1,25,45,left,std_11,1,1647.4789999999996,1
46,1,25,46,left,std_11,1,4375.221,1
47,0,0,47,left,std_11,0,1420.066,1
48,0,0,48,left,std_11,0,1263.103,1
49,0,0,49,left,std_11,0,1231.072,1
50,1,10,50,left,std_11,1,1744.7179999999998,1
51,1,25,51,left,std_11,0,1706.161,0
52,0,0,52,left,std_11,0,1433.2959999999996,1
53,0,0,53,left,std_11,0,1108.837,1
54,1,25,54,left,std_11,0,2505.829,0
55,0,0,55,left,std_11,0,1012.801,1
56,0,0,56,left,std_11,0,1095.828,1
57,0,0,57,left,std_11,0,718.263,1
58,0,0,58,left,std_11,0,1040.813,1
59,1,25,59,left,std_11,0,1463.217,0
60,1,10,60,left,std_11,0,1066.521,0
61,1,15,61,left,std_11,0,1100.3670000000004,0
62,1,15,62,left,std_11,0,873.2739999999999,0
63,1,15,63,left,std_11,0,792.2470000000002,0
64,0,0,64,left,std_11,0,1160.496,1
65,1,10,65,left,std_11,0,840.492,0
66,0,0,66,left,std_11,0,765.362,1
67,0,0,67,left,std_11,0,1083.698,1
68,1,60,68,left,std_11,1,1595.9,1
69,0,0,69,left,std_11,0,1420.912,1
70,1,60,70,left,std_11,1,1457.664,1
71,0,0,71,left,std_11,0,1067.9260000000002,1
72,0,0,72,left,std_11,0,1240.2340000000004,1
73,0,0,73,left,std_11,0,927.908,1
74,1,10,74,left,std_11,0,1395.8680000000004,0
75,1,15,75,left,std_11,0,1082.519,0
76,1,10,76,left,std_11,0,978.826,0
77,0,0,77,left,std_11,0,814.6099999999999,1
78,0,0,78,left,std_11,0,976.4910000000001,1
79,1,25,79,left,std_11,1,1745.4019999999996,1
80,0,0,80,left,std_11,0,1122.349,1
81,1,60,81,left,std_11,1,1320.9550000000004,1
82,0,0,82,left,std_11,0,1054.0739999999998,1
83,0,0,83,left,std_11,0,860.54,1
84,0,0,84,left,std_11,0,3505.8779999999997,1
85,0,0,85,left,std_11,0,1383.708,1
86,1,15,86,left,std_11,0,1986.4089999999999,0
87,1,25,87,left,std_11,1,2855.188,1
88,1,10,88,left,std_11,0,1231.6589999999999,0
89,1,60,89,left,std_11,1,1300.856,1
90,0,0,90,left,std_11,0,1056.516,1
91,0,0,91,left,std_11,0,1043.392,1
