,Unnamed: 0,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp,sdt-amk1048
70,70.0,1.0,60.0,70.0,left,jl13312,1.0,281.618,1.0,
71,71.0,0.0,0.0,71.0,left,jl13312,1.0,271.07,0.0,
72,72.0,0.0,0.0,72.0,left,jl13312,1.0,238.671,0.0,
73,73.0,0.0,0.0,73.0,left,jl13312,1.0,197.229,0.0,
74,74.0,1.0,10.0,74.0,left,jl13312,1.0,123.783,1.0,
75,75.0,1.0,15.0,75.0,left,jl13312,1.0,6.773000000000001,1.0,
76,76.0,1.0,10.0,76.0,left,jl13312,1.0,6.755,1.0,
77,77.0,0.0,0.0,77.0,left,jl13312,1.0,10.62,0.0,
78,78.0,0.0,0.0,78.0,left,jl13312,1.0,8.442,0.0,
79,79.0,1.0,25.0,79.0,left,jl13312,1.0,8.489999999999998,1.0,
80,80.0,0.0,0.0,80.0,left,jl13312,1.0,5.954,0.0,
81,81.0,1.0,60.0,81.0,left,jl13312,1.0,8.177,1.0,
82,82.0,0.0,0.0,82.0,left,jl13312,1.0,6.203,0.0,
83,83.0,0.0,0.0,83.0,left,jl13312,1.0,5.674,0.0,
84,84.0,0.0,0.0,84.0,left,jl13312,1.0,6.189,0.0,
85,85.0,0.0,0.0,85.0,left,jl13312,1.0,5.492,0.0,
86,86.0,1.0,15.0,86.0,left,jl13312,1.0,5.806,1.0,
87,87.0,1.0,25.0,87.0,left,jl13312,1.0,5.611,1.0,
88,88.0,1.0,10.0,88.0,left,jl13312,1.0,6.14,1.0,
89,89.0,1.0,60.0,89.0,left,jl13312,1.0,9.186,1.0,
90,90.0,0.0,0.0,90.0,left,jl13312,1.0,5.806,0.0,
91,91.0,0.0,0.0,91.0,left,jl13312,1.0,5.465,0.0,
92,92.0,0.0,0.0,92.0,left,jl13312,1.0,5.286,0.0,
93,93.0,1.0,25.0,93.0,left,jl13312,1.0,5.694,1.0,
94,94.0,1.0,60.0,94.0,left,jl13312,1.0,5.976,1.0,
95,95.0,1.0,10.0,95.0,left,jl13312,1.0,5.777,1.0,
96,96.0,0.0,0.0,96.0,left,jl13312,1.0,5.766,0.0,
97,97.0,0.0,0.0,97.0,left,jl13312,1.0,6.272,0.0,
98,98.0,0.0,0.0,98.0,left,jl13312,1.0,5.619,0.0,
99,99.0,0.0,0.0,99.0,left,jl13312,1.0,5.929,0.0,
100,100.0,0.0,0.0,100.0,left,jl13312,1.0,5.747000000000001,0.0,
101,101.0,0.0,0.0,101.0,left,jl13312,1.0,5.83,0.0,
102,102.0,1.0,25.0,102.0,left,jl13312,1.0,6.269,1.0,
103,103.0,0.0,0.0,103.0,left,jl13312,1.0,5.420999999999999,0.0,
104,104.0,1.0,10.0,104.0,left,jl13312,1.0,6.673,1.0,
105,105.0,1.0,15.0,105.0,left,jl13312,1.0,5.426,1.0,
106,106.0,1.0,15.0,106.0,left,jl13312,1.0,6.002999999999999,1.0,
107,107.0,0.0,0.0,107.0,left,jl13312,1.0,5.384,0.0,
108,108.0,1.0,15.0,108.0,left,jl13312,1.0,5.698,1.0,
109,109.0,0.0,0.0,109.0,left,jl13312,1.0,6.0280000000000005,0.0,
110,110.0,0.0,0.0,110.0,left,jl13312,1.0,5.475,0.0,
111,111.0,1.0,10.0,111.0,left,jl13312,1.0,6.156,1.0,
112,112.0,0.0,0.0,112.0,left,jl13312,1.0,8.016,0.0,
113,113.0,0.0,0.0,113.0,left,jl13312,1.0,5.882,0.0,
114,114.0,0.0,0.0,114.0,left,jl13312,1.0,5.28,0.0,
115,115.0,0.0,0.0,115.0,left,jl13312,1.0,6.021,0.0,
116,116.0,0.0,0.0,116.0,left,jl13312,1.0,5.854,0.0,
