,zip,borough,neighborhood,deathper100k,whitepct,medianincome,asthmapct,popdens,medianage,housesize
62,10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,272.65,15.36,27420,11.8,70392.07,30,2.9
63,10458,Bronx,Belmont/Fordham University/Kingsbridge,177.66,17.73,33932,11.2,83517.61,29,2.96
64,10459,Bronx,Charlotte Gardens/Hunts Point,367.64,11.61,27687,11.6,58950.26,31,2.9
65,10460,Bronx,Charlotte Gardens/Tremont/Van Nest/West Farms,247.98,15.75,26866,11.6,45341.18,32,2.85
66,10461,Bronx,Morris Park/Pelham Bay/Westchester Square,305.51,48.2,56612,10.7,21036.19,38,2.6
67,10462,Bronx,Parkchester/Pelham Parkway/Van Nest/Westchester Square,268.2,23.19,52409,11.3,52026.86,36,2.59
68,10463,Bronx,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,350.08,45.0,58551,11.0,49217.46,40,2.4
69,10464,Bronx,City Island,256.69,78.82,93365,11.4,1277.5,45,2.33
70,10465,Bronx,Country Club/Throgs Neck,243.49,60.3,74796,11.1,12908.49,42,2.65
71,10466,Bronx,Edenwald/Wakefield,256.63,11.08,51477,13.3,36016.41,37,3.03
72,10467,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,348.82,22.62,37015,11.6,44386.63,34,2.78
73,10468,Bronx,Fordham/Kingsbridge/University Heights,311.01,12.63,36046,10.9,73450.73,32,2.93
74,10469,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,534.31,18.81,63652,12.7,29870.54,40,3.18
75,10470,Bronx,Wakefield/Woodlawn,180.1,42.59,57160,12.1,10792.37,41,2.52
76,10471,Bronx,Fieldston/North Riverdale/Riverdale,466.08,68.66,85707,11.2,8519.75,45,2.18
77,10472,Bronx,Soundview,322.16,14.93,30977,11.0,65283.49,32,3.11
78,10473,Bronx,Castle Hill/Clason Point/Soundview,289.29,37.51,41638,11.9,27853.2,36,2.83
79,10474,Bronx,Hunts Point,192.06,9.22,25493,11.3,7928.81,30,3.18
80,10475,Bronx,Co-op City/Edenwald,453.94,17.78,50832,12.9,24966.92,45,2.22
81,11004,Queens,Bellerose/Douglaston-Little Neck,390.51,42.02,92657,9.8,16042.7,44,2.77
82,11101,Queens,Astoria (South)/Long Island City/Sunnyside,127.59,42.99,65392,10.4,11539.23,34,2.24
83,11102,Queens,Astoria (North),339.49,59.11,64067,10.1,39056.51,34,2.33
84,11103,Queens,Astoria (North)/Astoria (South),206.08,70.92,71437,10.1,50793.81,34,2.3
85,11104,Queens,Sunnyside,192.63,66.84,61269,9.7,67304.0,38,2.25
86,11105,Queens,Ditmars Steinway,154.74,74.55,73959,10.3,22221.84,35,2.43
87,11106,Queens,Astoria (South),179.01,54.05,63703,10.0,44876.46,36,2.24
88,11109,Queens,Long Island City,34.71,67.1,148590,9.7,120148.65,33,2.02
89,11201,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,162.13,64.07,124996,10.6,44662.67,35,2.06
90,11203,Brooklyn,East Flatbush (North)/East Flatbush (South),351.91,4.41,51277,13.9,35174.78,40,2.66
91,11204,Brooklyn,Bensonhurst/Mapleton,224.42,58.05,49785,10.2,48445.92,35,3.26
92,11205,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,132.36,49.0,56708,11.7,48733.16,30,2.67
93,11206,Brooklyn,Williamsburg (South),201.82,47.22,36404,11.3,61590.68,29,2.83
94,11207,Brooklyn,Cypress Hills/East New York,279.68,14.54,37243,13.2,34391.57,34,2.7
95,11208,Brooklyn,Cypress Hills/East New York,298.23,25.9,40733,12.1,27578.2,33,3.05
96,11209,Brooklyn,Bay Ridge/Fort Hamilton,199.96,73.81,72314,10.5,31992.47,41,2.3
97,11210,Brooklyn,Flatlands/Midwood,264.89,31.14,65900,12.9,40836.54,36,3.0
98,11211,Brooklyn,East Williamsburg/Williamsburg (North)/Williamsburg (South),150.49,74.66,71225,10.6,44382.0,31,2.59
99,11212,Brooklyn,Ocean Hill-Brownsville,348.8,7.17,26239,14.2,49732.06,38,2.23
100,11213,Brooklyn,Crown Heights (East),246.13,22.43,41710,13.5,60798.79,33,2.61
101,11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,284.44,49.24,54041,10.0,42853.43,40,2.88
102,11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,79.0,76.15,123583,10.4,32230.38,36,2.43
103,11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,28.98,61121,13.2,60233.48,34,2.31
104,11217,Brooklyn,Boerum Hill/Park Slope,222.65,57.98,107362,11.0,55188.14,35,2.33
105,11218,Brooklyn,Kensington/Windsor Terrace,231.09,59.72,69415,10.6,52159.63,34,2.97
106,11219,Brooklyn,Borough Park,235.34,67.22,39295,10.2,60750.58,28,3.64
107,11220,Brooklyn,Sunset Park,207.21,30.33,47079,9.3,54809.71,34,3.39
108,11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,27.68,50153,12.3,60603.85,32,2.68
109,11222,Brooklyn,Greenpoint,105.19,81.92,85111,10.6,23778.96,35,2.1
110,11223,Brooklyn,Gravesend/Homecrest,207.38,57.23,50108,10.5,39441.74,37,2.92
111,11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,58.1,33131,11.7,29454.31,46,2.43
