Zipcode,Borough,Neighborhood,Deaths Per Capita,White
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,284.44,49.24
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,79,76.15
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,28.98
11217,Brooklyn,Boerum Hill/Park Slope,222.65,57.98
11218,Brooklyn,Kensington/Windsor Terrace,231.09,59.72
11219,Brooklyn,Borough Park,235.34,67.22
11220,Brooklyn,Sunset Park,207.21,30.33
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,27.68
11222,Brooklyn,Greenpoint,105.19,81.92
11223,Brooklyn,Gravesend/Homecrest,207.38,57.23
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,58.1
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,27.24
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,15.25
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,55.67
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,64.63
11230,Brooklyn,Midwood,334.12,69.98
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,65.9
11232,Brooklyn,Sunset Park,169.83,41.27
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,8.76
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,41.55
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,75.2
11236,Brooklyn,Canarsie,336.71,5.86
11237,Brooklyn,Bushwick/East Williamsburg,233.33,42.05
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,46.4
11239,Brooklyn,East New York,790.95,30.63
11354,Queens,Flushing/Murray Hill,626.87,20.78
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,13.21
11356,Queens,College Point,219.16,35.91
11357,Queens,Whitestone,281.55,70.1
11358,Queens,Auburndale/Murray Hill,149.9,41.7
11360,Queens,Bayside (North),199.52,62.17
11361,Queens,Bayside (North)/Bayside (South),238.9,48.64
11362,Queens,Douglaston-Little Neck,243.07,49.72
11363,Queens,Douglaston-Little Neck,103.93,59.32
11364,Queens,Bayside (South)/Oakland Gardens,117.69,39.96
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,33.42
11366,Queens,Fresh Meadows/Hillcrest,197.07,42.97
11367,Queens,Kew Gardens Hills/Pomonok,184.38,55.97
11368,Queens,Corona/North Corona,415.87,37.66
11369,Queens,Airport/East Elmhurst,582.85,28.82
11370,Queens,Jackson Heights/Rikers Island,223.43,42.15
11372,Queens,Jackson Heights,474.6,57.31
11373,Queens,Elmhurst,326.22,21.67
11374,Queens,Rego Park,270.57,52.71
11375,Queens,Forest Hills,304.49,60.76
11377,Queens,Woodside,276.03,48.89
11378,Queens,Maspeth,207.49,71.99
11379,Queens,Middle Village,352.11,78.09
11385,Queens,Glendale/Ridgewood,146.7,81.67
11411,Queens,Cambria Heights,233.88,3.37
11412,Queens,St. Albans,251.98,1.76
11413,Queens,Laurelton/Rosedale,254.59,2.33
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,77.9
11415,Queens,Kew Gardens,333.81,58.93
11416,Queens,Ozone Park,287.99,27.43
11417,Queens,Ozone Park,190.07,35.79
11418,Queens,Richmond Hill,263.4,40.61
11419,Queens,Richmond Hill/South Ozone Park,255.64,10.06
11420,Queens,South Ozone Park,234.14,15.26
11421,Queens,Woodhaven,282.15,44.2
11422,Queens,Rosedale,228.47,5.48
11423,Queens,Hollis/Holliswood,382.16,12.96
11426,Queens,Bellerose,198.38,38.86
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,29.32
11428,Queens,Queens Village,344.44,22.69
11429,Queens,Queens Village,254.91,3.52
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,19.11
11433,Queens,Jamaica,290.24,3.92
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,2.93
11435,Queens,Briarwood/Jamaica,287.6,16.93
11436,Queens,South Jamaica/South Ozone Park,254.46,5.64
11691,Queens,Edgemere/Far Rockaway,587.83,38.93
11692,Queens,Arverne/Edgemere,456.51,22.6
11693,Queens,Arverne/Broad Channel,244.63,63.27
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,81.31
11697,Queens,Breezy Point,206.33,95.42
