Zipcode,Borough,Neighborhood,Deaths Per Capita,Asthma
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,284.44,10
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,79,10.4
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,13.2
11217,Brooklyn,Boerum Hill/Park Slope,222.65,11
11218,Brooklyn,Kensington/Windsor Terrace,231.09,10.6
11219,Brooklyn,Borough Park,235.34,10.2
11220,Brooklyn,Sunset Park,207.21,9.3
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,12.3
11222,Brooklyn,Greenpoint,105.19,10.6
11223,Brooklyn,Gravesend/Homecrest,207.38,10.5
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,11.7
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,13.4
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,13.3
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,10.2
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,10.6
11230,Brooklyn,Midwood,334.12,10.9
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,10.7
11232,Brooklyn,Sunset Park,169.83,9.7
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,14
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,12.3
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,10.6
11236,Brooklyn,Canarsie,336.71,13.6
11237,Brooklyn,Bushwick/East Williamsburg,233.33,10.2
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,12
11239,Brooklyn,East New York,790.95,13.3
11354,Queens,Flushing/Murray Hill,626.87,8.7
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,8.2
11356,Queens,College Point,219.16,9.6
11357,Queens,Whitestone,281.55,10.2
11358,Queens,Auburndale/Murray Hill,149.9,9.3
11360,Queens,Bayside (North),199.52,10.1
11361,Queens,Bayside (North)/Bayside (South),238.9,9.4
11362,Queens,Douglaston-Little Neck,243.07,9.3
11363,Queens,Douglaston-Little Neck,103.93,9.5
11364,Queens,Bayside (South)/Oakland Gardens,117.69,9
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,9.5
11366,Queens,Fresh Meadows/Hillcrest,197.07,9.5
11367,Queens,Kew Gardens Hills/Pomonok,184.38,10.5
11368,Queens,Corona/North Corona,415.87,9.9
11369,Queens,Airport/East Elmhurst,582.85,10.4
11370,Queens,Jackson Heights/Rikers Island,223.43,9.7
11372,Queens,Jackson Heights,474.6,9.4
11373,Queens,Elmhurst,326.22,8.7
11374,Queens,Rego Park,270.57,9.7
11375,Queens,Forest Hills,304.49,9.8
11377,Queens,Woodside,276.03,9.1
11378,Queens,Maspeth,207.49,10.8
11379,Queens,Middle Village,352.11,11.2
11385,Queens,Glendale/Ridgewood,146.7,10.7
11411,Queens,Cambria Heights,233.88,13.8
11412,Queens,St. Albans,251.98,14.1
11413,Queens,Laurelton/Rosedale,254.59,13.9
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,11.2
11415,Queens,Kew Gardens,333.81,10.7
11416,Queens,Ozone Park,287.99,10.4
11417,Queens,Ozone Park,190.07,10.8
11418,Queens,Richmond Hill,263.4,10.4
11419,Queens,Richmond Hill/South Ozone Park,255.64,11.5
11420,Queens,South Ozone Park,234.14,12.3
11421,Queens,Woodhaven,282.15,10.1
11422,Queens,Rosedale,228.47,13.6
11423,Queens,Hollis/Holliswood,382.16,12.2
11426,Queens,Bellerose,198.38,9.8
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,10.7
11428,Queens,Queens Village,344.44,11.1
11429,Queens,Queens Village,254.91,13.4
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,10.3
11433,Queens,Jamaica,290.24,13.5
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,14.1
11435,Queens,Briarwood/Jamaica,287.6,11
11436,Queens,South Jamaica/South Ozone Park,254.46,13.6
11691,Queens,Edgemere/Far Rockaway,587.83,12.5
11692,Queens,Arverne/Edgemere,456.51,13.2
11693,Queens,Arverne/Broad Channel,244.63,11.9
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,11.2
11697,Queens,Breezy Point,206.33,11.2
