Zipcode,Borough,Neighborhood,Deaths Per Capita,Median HHI
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,61121
11217,Brooklyn,Boerum Hill/Park Slope,222.65,107362
11218,Brooklyn,Kensington/Windsor Terrace,231.09,69415
11219,Brooklyn,Borough Park,235.34,39295
11220,Brooklyn,Sunset Park,207.21,47079
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,50153
11222,Brooklyn,Greenpoint,105.19,85111
11223,Brooklyn,Gravesend/Homecrest,207.38,50108
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,33131
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,55862
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,52052
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,67911
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,60873
11230,Brooklyn,Midwood,334.12,49541
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,100213
11232,Brooklyn,Sunset Park,169.83,56661
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,40449
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,81399
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,52538
11236,Brooklyn,Canarsie,336.71,67669
11237,Brooklyn,Bushwick/East Williamsburg,233.33,51413
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,85407
11239,Brooklyn,East New York,790.95,27104
11354,Queens,Flushing/Murray Hill,626.87,42500
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,39207
11356,Queens,College Point,219.16,60493
11357,Queens,Whitestone,281.55,83951
11358,Queens,Auburndale/Murray Hill,149.9,66129
11360,Queens,Bayside (North),199.52,86174
11361,Queens,Bayside (North)/Bayside (South),238.9,85887
11362,Queens,Douglaston-Little Neck,243.07,89185
11363,Queens,Douglaston-Little Neck,103.93,104792
11364,Queens,Bayside (South)/Oakland Gardens,117.69,76988
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,66483
11366,Queens,Fresh Meadows/Hillcrest,197.07,78990
11367,Queens,Kew Gardens Hills/Pomonok,184.38,57933
11368,Queens,Corona/North Corona,415.87,50797
11369,Queens,Airport/East Elmhurst,582.85,54121
11370,Queens,Jackson Heights/Rikers Island,223.43,65098
11372,Queens,Jackson Heights,474.6,56383
11373,Queens,Elmhurst,326.22,51183
11374,Queens,Rego Park,270.57,63161
11375,Queens,Forest Hills,304.49,80542
11377,Queens,Woodside,276.03,57010
11378,Queens,Maspeth,207.49,73333
11379,Queens,Middle Village,352.11,82819
11385,Queens,Glendale/Ridgewood,146.7,72261
11411,Queens,Cambria Heights,233.88,93882
11412,Queens,St. Albans,251.98,78517
11413,Queens,Laurelton/Rosedale,254.59,86324
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,71648
11415,Queens,Kew Gardens,333.81,68294
11416,Queens,Ozone Park,287.99,67461
11417,Queens,Ozone Park,190.07,73424
11418,Queens,Richmond Hill,263.4,66570
11419,Queens,Richmond Hill/South Ozone Park,255.64,70882
11420,Queens,South Ozone Park,234.14,67932
11421,Queens,Woodhaven,282.15,72066
11422,Queens,Rosedale,228.47,89235
11423,Queens,Hollis/Holliswood,382.16,70266
11426,Queens,Bellerose,198.38,88803
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,74581
11428,Queens,Queens Village,344.44,73699
11429,Queens,Queens Village,254.91,83240
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,55906
11433,Queens,Jamaica,290.24,51521
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,62207
11435,Queens,Briarwood/Jamaica,287.6,64086
11436,Queens,South Jamaica/South Ozone Park,254.46,75242
11691,Queens,Edgemere/Far Rockaway,587.83,46147
11692,Queens,Arverne/Edgemere,456.51,44024
11693,Queens,Arverne/Broad Channel,244.63,59431
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,80976
11697,Queens,Breezy Point,206.33,103580
