Zipcode,Borough,Neighborhood,Deaths Per Capita,Median Age
11220,Brooklyn,Sunset Park,207.21,34
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,32
11222,Brooklyn,Greenpoint,105.19,35
11223,Brooklyn,Gravesend/Homecrest,207.38,37
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,46
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,35
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,35
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,41
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,41
11230,Brooklyn,Midwood,334.12,34
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,36
11232,Brooklyn,Sunset Park,169.83,34
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,33
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,40
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,45
11236,Brooklyn,Canarsie,336.71,38
11237,Brooklyn,Bushwick/East Williamsburg,233.33,30
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,36
11239,Brooklyn,East New York,790.95,47
11354,Queens,Flushing/Murray Hill,626.87,46
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,43
11356,Queens,College Point,219.16,37
11357,Queens,Whitestone,281.55,46
11358,Queens,Auburndale/Murray Hill,149.9,44
11360,Queens,Bayside (North),199.52,49
11361,Queens,Bayside (North)/Bayside (South),238.9,43
11362,Queens,Douglaston-Little Neck,243.07,49
11363,Queens,Douglaston-Little Neck,103.93,48
11364,Queens,Bayside (South)/Oakland Gardens,117.69,45
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,41
11366,Queens,Fresh Meadows/Hillcrest,197.07,41
11367,Queens,Kew Gardens Hills/Pomonok,184.38,36
11368,Queens,Corona/North Corona,415.87,32
11369,Queens,Airport/East Elmhurst,582.85,38
11370,Queens,Jackson Heights/Rikers Island,223.43,38
11372,Queens,Jackson Heights,474.6,41
11373,Queens,Elmhurst,326.22,38
11374,Queens,Rego Park,270.57,44
11375,Queens,Forest Hills,304.49,43
11377,Queens,Woodside,276.03,40
11378,Queens,Maspeth,207.49,38
11379,Queens,Middle Village,352.11,43
11385,Queens,Glendale/Ridgewood,146.7,35
11411,Queens,Cambria Heights,233.88,44
11412,Queens,St. Albans,251.98,41
11413,Queens,Laurelton/Rosedale,254.59,40
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,45
11415,Queens,Kew Gardens,333.81,39
11416,Queens,Ozone Park,287.99,36
11417,Queens,Ozone Park,190.07,38
11418,Queens,Richmond Hill,263.4,35
11419,Queens,Richmond Hill/South Ozone Park,255.64,37
11420,Queens,South Ozone Park,234.14,39
11421,Queens,Woodhaven,282.15,38
11422,Queens,Rosedale,228.47,38
11423,Queens,Hollis/Holliswood,382.16,41
11426,Queens,Bellerose,198.38,39
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,42
11428,Queens,Queens Village,344.44,41
11429,Queens,Queens Village,254.91,39
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,36
11433,Queens,Jamaica,290.24,35
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,38
11435,Queens,Briarwood/Jamaica,287.6,36
11436,Queens,South Jamaica/South Ozone Park,254.46,37
11691,Queens,Edgemere/Far Rockaway,587.83,31
11692,Queens,Arverne/Edgemere,456.51,34
11693,Queens,Arverne/Broad Channel,244.63,40
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,49
11697,Queens,Breezy Point,206.33,49
