Zipcode,Borough,Neighborhood,Deaths Per Capita,Household Size
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,284.44,2.88
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,79,2.43
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,2.31
11217,Brooklyn,Boerum Hill/Park Slope,222.65,2.33
11218,Brooklyn,Kensington/Windsor Terrace,231.09,2.97
11219,Brooklyn,Borough Park,235.34,3.64
11220,Brooklyn,Sunset Park,207.21,3.39
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,2.68
11222,Brooklyn,Greenpoint,105.19,2.1
11223,Brooklyn,Gravesend/Homecrest,207.38,2.92
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,2.43
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,2.44
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,2.71
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,2.93
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,2.69
11230,Brooklyn,Midwood,334.12,2.89
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,2.41
11232,Brooklyn,Sunset Park,169.83,2.9
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,2.57
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,3
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,2.38
11236,Brooklyn,Canarsie,336.71,2.97
11237,Brooklyn,Bushwick/East Williamsburg,233.33,2.86
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,2.17
11239,Brooklyn,East New York,790.95,1.95
11354,Queens,Flushing/Murray Hill,626.87,2.65
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,2.91
11356,Queens,College Point,219.16,3.13
11357,Queens,Whitestone,281.55,2.73
11358,Queens,Auburndale/Murray Hill,149.9,2.85
11360,Queens,Bayside (North),199.52,2.28
11361,Queens,Bayside (North)/Bayside (South),238.9,2.67
11362,Queens,Douglaston-Little Neck,243.07,2.58
11363,Queens,Douglaston-Little Neck,103.93,2.61
11364,Queens,Bayside (South)/Oakland Gardens,117.69,2.71
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,2.88
11366,Queens,Fresh Meadows/Hillcrest,197.07,3.12
11367,Queens,Kew Gardens Hills/Pomonok,184.38,2.8
11368,Queens,Corona/North Corona,415.87,3.92
11369,Queens,Airport/East Elmhurst,582.85,3.22
11370,Queens,Jackson Heights/Rikers Island,223.43,3.17
