trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,x_pos,y_pos,stim_file,corr_ans,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,1.654000044,1,0,200,147,1,199,-0.023204098,-0.168408936,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.628000021,1,0,200,46,1,199,0.026547016,-0.16791443,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.720999956,1,0,200,17,1,199,0.073866718,0.153113383,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.838000059,1,0,200,102,1,199,0.054436999,0.161048481,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.43900013,1,0,200,145,1,199,-0.07830092,-0.15089389,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,2.04399991,1,0,200,87,1,199,-0.031743276,-0.167010073,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.825000048,1,0,200,110,1,199,-0.138791017,0.098168496,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.601000071,1,0,200,117,1,199,-0.001301383,0.169995019,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.436000109,1,0,200,96,1,199,-0.163223726,-0.047518578,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.379000187,1,0,200,130,1,199,-0.022796957,0.168464533,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.57400012,1,0,200,131,1,199,-0.022655868,0.168483565,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.552999973,1,0,200,48,1,199,-0.042127558,0.164697507,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.578999996,1,0,200,175,1,199,0.110967271,-0.128787674,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.603999853,1,0,200,3,1,199,-0.04690181,-0.16340202,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.906999826,1,0,200,38,1,199,-0.16107258,0.054365651,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.726999998,1,0,200,171,1,199,-0.146542556,-0.08617006,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.403000116,1,0,200,84,1,199,0.128201745,0.111643686,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.288000107,1,0,200,178,1,199,-0.133355778,0.105433564,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,1.508000135,1,0,200,52,1,199,0.103493671,-0.134866824,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,2.391000032,1,0,200,193,1,199,0.107976517,0.131305262,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.592999935,1,0,200,27,1,199,0.090709821,0.143776661,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.792999983,1,0,200,195,1,199,-0.146757958,-0.085802692,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,3.944999933,1,0,200,92,1,199,-0.03894889,-0.165478047,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.673000097,1,0,200,75,1,199,-0.140385071,-0.095875085,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.211999893,1,0,200,120,1,199,-0.145071888,0.088623627,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.620000124,1,0,200,35,1,199,0.092147494,-0.142859509,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.825000048,1,0,200,179,1,199,-0.164224099,0.043936832,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.817000151,1,0,200,91,1,199,-0.137914532,0.099396086,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.860999823,1,0,200,39,1,199,-0.110162463,-0.129476761,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.960999966,1,0,200,132,1,199,-0.057048751,0.160141937,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.080999851,1,0,200,41,1,199,0.118982032,0.121421893,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
