trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,x_pos,y_pos,stim_file,corr_ans,participant,session,date,expName,psychopyVersion,OS,frameRate
up,0,1.268000126,1,0,200,172,1,199,-0.146657587,-0.085974137,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,0.889999866,1,0,200,64,1,199,-0.169381629,-0.014486673,gabor_stims/gabor_50.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.988999844,1,0,200,144,1,199,-0.102165846,0.135875458,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.366999865,1,0,200,192,1,199,0.166169002,-0.035886805,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,0.832999945,1,0,200,11,1,199,0.155141153,-0.069506996,gabor_stims/gabor_10.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.26699996,1,0,200,118,1,199,0.103914805,0.134542608,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,1.200999975,1,0,200,17,1,199,0.073866718,0.153113383,gabor_stims/gabor_10.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
up,1,1.802000046,1,0,200,1,1,199,-0.163228157,0.047503357,gabor_stims/gabor_10.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.50999999,1,0,200,167,1,199,-0.022147827,0.168551101,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,0.871000051,1,0,200,20,1,199,-0.119205799,-0.121202218,gabor_stims/gabor_10.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.322000027,1,0,200,150,1,199,0.168252868,0.024309925,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.370999813,1,0,200,161,1,199,-0.125487299,0.114686258,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,1,1.802000046,1,0,200,188,1,199,0.144381292,0.089744318,gabor_stims/gabor_00.png,down,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,1.288000107,1,0,200,80,1,199,-0.001336135,-0.169994749,gabor_stims/gabor_50.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
down,0,0.588999987,1,0,200,95,1,199,-0.168183203,0.024787302,gabor_stims/gabor_50.png,up,so32,001,2019-11-13_10h10.23.342,sdt_gabor,3.2.4,MacIntel,60
